"Step","lr_test: 1e-05 - train_loss","lr_test: 1e-05 - train_loss__MIN","lr_test: 1e-05 - train_loss__MAX","lr_test: 5e-05 - train_loss","lr_test: 5e-05 - train_loss__MIN","lr_test: 5e-05 - train_loss__MAX","lr_test: 0.0001 - train_loss","lr_test: 0.0001 - train_loss__MIN","lr_test: 0.0001 - train_loss__MAX","lr_test: 0.0005 - train_loss","lr_test: 0.0005 - train_loss__MIN","lr_test: 0.0005 - train_loss__MAX","lr_test: 0.001 - train_loss","lr_test: 0.001 - train_loss__MIN","lr_test: 0.001 - train_loss__MAX"
"0","-11.623576381538488","-11.623576381538488","-11.623576381538488","-11.704750676698323","-11.704750676698323","-11.704750676698323","-11.742592690866205","-11.742592690866205","-11.742592690866205","-11.739704180367385","-11.739704180367385","-11.739704180367385","-11.721710579304755","-11.721710579304755","-11.721710579304755"
"1","-11.64865712274479","-11.64865712274479","-11.64865712274479","-11.842834689949132","-11.842834689949132","-11.842834689949132","-11.88099433802351","-11.88099433802351","-11.88099433802351","-11.811300277709961","-11.811300277709961","-11.811300277709961","-11.869542773765854","-11.869542773765854","-11.869542773765854"
"2","-11.687405706960943","-11.687405706960943","-11.687405706960943","-11.891510299489468","-11.891510299489468","-11.891510299489468","-11.92769759214377","-11.92769759214377","-11.92769759214377","-11.863114067270786","-11.863114067270786","-11.863114067270786","-11.876956517183327","-11.876956517183327","-11.876956517183327"
"3","-11.720389040210579","-11.720389040210579","-11.720389040210579","-11.913767235188544","-11.913767235188544","-11.913767235188544","-11.941533921640131","-11.941533921640131","-11.941533921640131","-11.916935872428025","-11.916935872428025","-11.916935872428025","-11.81693337838861","-11.81693337838861","-11.81693337838861"
"4","-11.755286941045448","-11.755286941045448","-11.755286941045448","-11.922958868968335","-11.922958868968335","-11.922958868968335","-11.942869415766076","-11.942869415766076","-11.942869415766076","-11.9188277932662","-11.9188277932662","-11.9188277932662","-11.841391165045243","-11.841391165045243","-11.841391165045243"
"5","-11.789958821067327","-11.789958821067327","-11.789958821067327","-11.937235228623017","-11.937235228623017","-11.937235228623017","-11.94558424889287","-11.94558424889287","-11.94558424889287","-11.911370856852471","-11.911370856852471","-11.911370856852471","-11.93206257156179","-11.93206257156179","-11.93206257156179"
"6","-11.812318693233442","-11.812318693233442","-11.812318693233442","-11.943444312373295","-11.943444312373295","-11.943444312373295","-11.952523134931733","-11.952523134931733","-11.952523134931733","-11.936447384991224","-11.936447384991224","-11.936447384991224","-11.927203661278833","-11.927203661278833","-11.927203661278833"
"7","-11.832101145877115","-11.832101145877115","-11.832101145877115","-11.949432711058025","-11.949432711058025","-11.949432711058025","-11.959472933902017","-11.959472933902017","-11.959472933902017","-11.949831757364393","-11.949831757364393","-11.949831757364393","-11.920808248882052","-11.920808248882052","-11.920808248882052"
"8","-11.853825098351587","-11.853825098351587","-11.853825098351587","-11.942064369781107","-11.942064369781107","-11.942064369781107","-11.95517766928371","-11.95517766928371","-11.95517766928371","-11.922224950186814","-11.922224950186814","-11.922224950186814","-11.933346808711185","-11.933346808711185","-11.933346808711185"
"9","-11.866317990459974","-11.866317990459974","-11.866317990459974","-11.94980533213555","-11.94980533213555","-11.94980533213555","-11.951593435263332","-11.951593435263332","-11.951593435263332","-11.934328368947476","-11.934328368947476","-11.934328368947476","-11.936307593236995","-11.936307593236995","-11.936307593236995"
