t_s,watts,rail,raw_power
1.067,5.183000,VDD_IN,"{'volt': 4984, 'curr': 1040, 'warn': 3016, 'crit': 4024, 'power': 5183, 'online': True, 'avg': 5021, 'name': 'VDD_IN'}"
1.268,5.183000,VDD_IN,"{'volt': 4984, 'curr': 1040, 'warn': 3016, 'crit': 4024, 'power': 5183, 'online': True, 'avg': 5021, 'name': 'VDD_IN'}"
1.468,5.183000,VDD_IN,"{'volt': 4984, 'curr': 1040, 'warn': 3016, 'crit': 4024, 'power': 5183, 'online': True, 'avg': 5021, 'name': 'VDD_IN'}"
1.668,5.183000,VDD_IN,"{'volt': 4984, 'curr': 1040, 'warn': 3016, 'crit': 4024, 'power': 5183, 'online': True, 'avg': 5021, 'name': 'VDD_IN'}"
1.868,5.183000,VDD_IN,"{'volt': 4984, 'curr': 1040, 'warn': 3016, 'crit': 4024, 'power': 5183, 'online': True, 'avg': 5021, 'name': 'VDD_IN'}"
2.069,5.175000,VDD_IN,"{'volt': 4976, 'curr': 1040, 'warn': 3016, 'crit': 4024, 'power': 5175, 'online': True, 'avg': 5098, 'name': 'VDD_IN'}"
2.269,5.175000,VDD_IN,"{'volt': 4976, 'curr': 1040, 'warn': 3016, 'crit': 4024, 'power': 5175, 'online': True, 'avg': 5098, 'name': 'VDD_IN'}"
2.469,5.175000,VDD_IN,"{'volt': 4976, 'curr': 1040, 'warn': 3016, 'crit': 4024, 'power': 5175, 'online': True, 'avg': 5098, 'name': 'VDD_IN'}"
2.669,5.175000,VDD_IN,"{'volt': 4976, 'curr': 1040, 'warn': 3016, 'crit': 4024, 'power': 5175, 'online': True, 'avg': 5098, 'name': 'VDD_IN'}"
2.870,5.175000,VDD_IN,"{'volt': 4976, 'curr': 1040, 'warn': 3016, 'crit': 4024, 'power': 5175, 'online': True, 'avg': 5098, 'name': 'VDD_IN'}"
3.070,4.832000,VDD_IN,"{'volt': 4992, 'curr': 968, 'warn': 3016, 'crit': 4024, 'power': 4832, 'online': True, 'avg': 4965, 'name': 'VDD_IN'}"
3.270,4.832000,VDD_IN,"{'volt': 4992, 'curr': 968, 'warn': 3016, 'crit': 4024, 'power': 4832, 'online': True, 'avg': 4965, 'name': 'VDD_IN'}"
3.471,4.832000,VDD_IN,"{'volt': 4992, 'curr': 968, 'warn': 3016, 'crit': 4024, 'power': 4832, 'online': True, 'avg': 4965, 'name': 'VDD_IN'}"
3.671,4.832000,VDD_IN,"{'volt': 4992, 'curr': 968, 'warn': 3016, 'crit': 4024, 'power': 4832, 'online': True, 'avg': 4965, 'name': 'VDD_IN'}"
3.871,4.832000,VDD_IN,"{'volt': 4992, 'curr': 968, 'warn': 3016, 'crit': 4024, 'power': 4832, 'online': True, 'avg': 4965, 'name': 'VDD_IN'}"
4.071,4.832000,VDD_IN,"{'volt': 4992, 'curr': 968, 'warn': 3016, 'crit': 4024, 'power': 4832, 'online': True, 'avg': 4898, 'name': 'VDD_IN'}"
4.272,4.832000,VDD_IN,"{'volt': 4992, 'curr': 968, 'warn': 3016, 'crit': 4024, 'power': 4832, 'online': True, 'avg': 4898, 'name': 'VDD_IN'}"
4.472,4.832000,VDD_IN,"{'volt': 4992, 'curr': 968, 'warn': 3016, 'crit': 4024, 'power': 4832, 'online': True, 'avg': 4898, 'name': 'VDD_IN'}"
4.672,4.832000,VDD_IN,"{'volt': 4992, 'curr': 968, 'warn': 3016, 'crit': 4024, 'power': 4832, 'online': True, 'avg': 4898, 'name': 'VDD_IN'}"
4.872,4.832000,VDD_IN,"{'volt': 4992, 'curr': 968, 'warn': 3016, 'crit': 4024, 'power': 4832, 'online': True, 'avg': 4898, 'name': 'VDD_IN'}"
5.073,4.800000,VDD_IN,"{'volt': 5000, 'curr': 960, 'warn': 3016, 'crit': 4024, 'power': 4800, 'online': True, 'avg': 4849, 'name': 'VDD_IN'}"
5.273,4.800000,VDD_IN,"{'volt': 5000, 'curr': 960, 'warn': 3016, 'crit': 4024, 'power': 4800, 'online': True, 'avg': 4849, 'name': 'VDD_IN'}"
5.473,4.800000,VDD_IN,"{'volt': 5000, 'curr': 960, 'warn': 3016, 'crit': 4024, 'power': 4800, 'online': True, 'avg': 4849, 'name': 'VDD_IN'}"
5.673,4.800000,VDD_IN,"{'volt': 5000, 'curr': 960, 'warn': 3016, 'crit': 4024, 'power': 4800, 'online': True, 'avg': 4849, 'name': 'VDD_IN'}"
5.874,4.800000,VDD_IN,"{'volt': 5000, 'curr': 960, 'warn': 3016, 'crit': 4024, 'power': 4800, 'online': True, 'avg': 4849, 'name': 'VDD_IN'}"
6.074,4.872000,VDD_IN,"{'volt': 4992, 'curr': 976, 'warn': 3016, 'crit': 4024, 'power': 4872, 'online': True, 'avg': 4860, 'name': 'VDD_IN'}"
6.274,4.872000,VDD_IN,"{'volt': 4992, 'curr': 976, 'warn': 3016, 'crit': 4024, 'power': 4872, 'online': True, 'avg': 4860, 'name': 'VDD_IN'}"
6.474,4.872000,VDD_IN,"{'volt': 4992, 'curr': 976, 'warn': 3016, 'crit': 4024, 'power': 4872, 'online': True, 'avg': 4860, 'name': 'VDD_IN'}"
6.675,4.872000,VDD_IN,"{'volt': 4992, 'curr': 976, 'warn': 3016, 'crit': 4024, 'power': 4872, 'online': True, 'avg': 4860, 'name': 'VDD_IN'}"
6.875,4.872000,VDD_IN,"{'volt': 4992, 'curr': 976, 'warn': 3016, 'crit': 4024, 'power': 4872, 'online': True, 'avg': 4860, 'name': 'VDD_IN'}"
7.075,4.792000,VDD_IN,"{'volt': 4992, 'curr': 960, 'warn': 3016, 'crit': 4024, 'power': 4792, 'online': True, 'avg': 4826, 'name': 'VDD_IN'}"
7.276,4.792000,VDD_IN,"{'volt': 4992, 'curr': 960, 'warn': 3016, 'crit': 4024, 'power': 4792, 'online': True, 'avg': 4826, 'name': 'VDD_IN'}"
7.476,4.792000,VDD_IN,"{'volt': 4992, 'curr': 960, 'warn': 3016, 'crit': 4024, 'power': 4792, 'online': True, 'avg': 4826, 'name': 'VDD_IN'}"
