t_s,watts,rail,raw_power
1.177,5.952000,VDD_IN,"{'volt': 4960, 'curr': 1200, 'warn': 3016, 'crit': 4024, 'power': 5952, 'online': True, 'avg': 5750, 'name': 'VDD_IN'}"
1.377,5.952000,VDD_IN,"{'volt': 4960, 'curr': 1200, 'warn': 3016, 'crit': 4024, 'power': 5952, 'online': True, 'avg': 5750, 'name': 'VDD_IN'}"
1.577,5.952000,VDD_IN,"{'volt': 4960, 'curr': 1200, 'warn': 3016, 'crit': 4024, 'power': 5952, 'online': True, 'avg': 5750, 'name': 'VDD_IN'}"
1.777,5.952000,VDD_IN,"{'volt': 4960, 'curr': 1200, 'warn': 3016, 'crit': 4024, 'power': 5952, 'online': True, 'avg': 5750, 'name': 'VDD_IN'}"
1.978,5.872000,VDD_IN,"{'volt': 4960, 'curr': 1184, 'warn': 3016, 'crit': 4024, 'power': 5872, 'online': True, 'avg': 5811, 'name': 'VDD_IN'}"
2.178,5.872000,VDD_IN,"{'volt': 4960, 'curr': 1184, 'warn': 3016, 'crit': 4024, 'power': 5872, 'online': True, 'avg': 5811, 'name': 'VDD_IN'}"
2.378,5.872000,VDD_IN,"{'volt': 4960, 'curr': 1184, 'warn': 3016, 'crit': 4024, 'power': 5872, 'online': True, 'avg': 5811, 'name': 'VDD_IN'}"
2.578,5.872000,VDD_IN,"{'volt': 4960, 'curr': 1184, 'warn': 3016, 'crit': 4024, 'power': 5872, 'online': True, 'avg': 5811, 'name': 'VDD_IN'}"
2.779,5.872000,VDD_IN,"{'volt': 4960, 'curr': 1184, 'warn': 3016, 'crit': 4024, 'power': 5872, 'online': True, 'avg': 5811, 'name': 'VDD_IN'}"
2.979,5.832000,VDD_IN,"{'volt': 4960, 'curr': 1176, 'warn': 3016, 'crit': 4024, 'power': 5832, 'online': True, 'avg': 5821, 'name': 'VDD_IN'}"
3.179,5.832000,VDD_IN,"{'volt': 4960, 'curr': 1176, 'warn': 3016, 'crit': 4024, 'power': 5832, 'online': True, 'avg': 5821, 'name': 'VDD_IN'}"
3.380,5.832000,VDD_IN,"{'volt': 4960, 'curr': 1176, 'warn': 3016, 'crit': 4024, 'power': 5832, 'online': True, 'avg': 5821, 'name': 'VDD_IN'}"
3.580,5.832000,VDD_IN,"{'volt': 4960, 'curr': 1176, 'warn': 3016, 'crit': 4024, 'power': 5832, 'online': True, 'avg': 5821, 'name': 'VDD_IN'}"
