t_s,watts,rail,raw_power
1.179,6.229000,VDD_IN,"{'volt': 4960, 'curr': 1256, 'warn': 3016, 'crit': 4024, 'power': 6229, 'online': True, 'avg': 5544, 'name': 'VDD_IN'}"
1.379,6.229000,VDD_IN,"{'volt': 4960, 'curr': 1256, 'warn': 3016, 'crit': 4024, 'power': 6229, 'online': True, 'avg': 5544, 'name': 'VDD_IN'}"
1.580,6.229000,VDD_IN,"{'volt': 4960, 'curr': 1256, 'warn': 3016, 'crit': 4024, 'power': 6229, 'online': True, 'avg': 5544, 'name': 'VDD_IN'}"
1.780,6.229000,VDD_IN,"{'volt': 4960, 'curr': 1256, 'warn': 3016, 'crit': 4024, 'power': 6229, 'online': True, 'avg': 5544, 'name': 'VDD_IN'}"
1.980,5.991000,VDD_IN,"{'volt': 4960, 'curr': 1208, 'warn': 3016, 'crit': 4024, 'power': 5991, 'online': True, 'avg': 5767, 'name': 'VDD_IN'}"
2.180,5.991000,VDD_IN,"{'volt': 4960, 'curr': 1208, 'warn': 3016, 'crit': 4024, 'power': 5991, 'online': True, 'avg': 5767, 'name': 'VDD_IN'}"
2.381,5.991000,VDD_IN,"{'volt': 4960, 'curr': 1208, 'warn': 3016, 'crit': 4024, 'power': 5991, 'online': True, 'avg': 5767, 'name': 'VDD_IN'}"
2.581,5.991000,VDD_IN,"{'volt': 4960, 'curr': 1208, 'warn': 3016, 'crit': 4024, 'power': 5991, 'online': True, 'avg': 5767, 'name': 'VDD_IN'}"
2.781,5.991000,VDD_IN,"{'volt': 4960, 'curr': 1208, 'warn': 3016, 'crit': 4024, 'power': 5991, 'online': True, 'avg': 5767, 'name': 'VDD_IN'}"
2.981,5.832000,VDD_IN,"{'volt': 4960, 'curr': 1176, 'warn': 3016, 'crit': 4024, 'power': 5832, 'online': True, 'avg': 5799, 'name': 'VDD_IN'}"
3.182,5.832000,VDD_IN,"{'volt': 4960, 'curr': 1176, 'warn': 3016, 'crit': 4024, 'power': 5832, 'online': True, 'avg': 5799, 'name': 'VDD_IN'}"
3.382,5.832000,VDD_IN,"{'volt': 4960, 'curr': 1176, 'warn': 3016, 'crit': 4024, 'power': 5832, 'online': True, 'avg': 5799, 'name': 'VDD_IN'}"
3.582,5.832000,VDD_IN,"{'volt': 4960, 'curr': 1176, 'warn': 3016, 'crit': 4024, 'power': 5832, 'online': True, 'avg': 5799, 'name': 'VDD_IN'}"
3.782,5.832000,VDD_IN,"{'volt': 4960, 'curr': 1176, 'warn': 3016, 'crit': 4024, 'power': 5832, 'online': True, 'avg': 5799, 'name': 'VDD_IN'}"
3.983,5.872000,VDD_IN,"{'volt': 4960, 'curr': 1184, 'warn': 3016, 'crit': 4024, 'power': 5872, 'online': True, 'avg': 5835, 'name': 'VDD_IN'}"
4.183,5.872000,VDD_IN,"{'volt': 4960, 'curr': 1184, 'warn': 3016, 'crit': 4024, 'power': 5872, 'online': True, 'avg': 5835, 'name': 'VDD_IN'}"
4.383,5.872000,VDD_IN,"{'volt': 4960, 'curr': 1184, 'warn': 3016, 'crit': 4024, 'power': 5872, 'online': True, 'avg': 5835, 'name': 'VDD_IN'}"
4.583,5.872000,VDD_IN,"{'volt': 4960, 'curr': 1184, 'warn': 3016, 'crit': 4024, 'power': 5872, 'online': True, 'avg': 5835, 'name': 'VDD_IN'}"
4.784,5.872000,VDD_IN,"{'volt': 4960, 'curr': 1184, 'warn': 3016, 'crit': 4024, 'power': 5872, 'online': True, 'avg': 5835, 'name': 'VDD_IN'}"
4.984,5.872000,VDD_IN,"{'volt': 4960, 'curr': 1184, 'warn': 3016, 'crit': 4024, 'power': 5872, 'online': True, 'avg': 5853, 'name': 'VDD_IN'}"
5.184,5.872000,VDD_IN,"{'volt': 4960, 'curr': 1184, 'warn': 3016, 'crit': 4024, 'power': 5872, 'online': True, 'avg': 5853, 'name': 'VDD_IN'}"
