t_s,watts,rail,raw_power
1.185,5.206000,VDD_IN,"{'volt': 4968, 'curr': 1048, 'warn': 3024, 'crit': 4032, 'power': 5206, 'online': True, 'avg': 5269, 'name': 'VDD_IN'}"
1.385,5.206000,VDD_IN,"{'volt': 4968, 'curr': 1048, 'warn': 3024, 'crit': 4032, 'power': 5206, 'online': True, 'avg': 5269, 'name': 'VDD_IN'}"
1.585,5.206000,VDD_IN,"{'volt': 4968, 'curr': 1048, 'warn': 3024, 'crit': 4032, 'power': 5206, 'online': True, 'avg': 5269, 'name': 'VDD_IN'}"
1.785,5.206000,VDD_IN,"{'volt': 4968, 'curr': 1048, 'warn': 3024, 'crit': 4032, 'power': 5206, 'online': True, 'avg': 5269, 'name': 'VDD_IN'}"
1.986,5.206000,VDD_IN,"{'volt': 4968, 'curr': 1048, 'warn': 3024, 'crit': 4032, 'power': 5206, 'online': True, 'avg': 5269, 'name': 'VDD_IN'}"
2.186,5.237000,VDD_IN,"{'volt': 4960, 'curr': 1056, 'warn': 3024, 'crit': 4032, 'power': 5237, 'online': True, 'avg': 5253, 'name': 'VDD_IN'}"
2.386,5.237000,VDD_IN,"{'volt': 4960, 'curr': 1056, 'warn': 3024, 'crit': 4032, 'power': 5237, 'online': True, 'avg': 5253, 'name': 'VDD_IN'}"
2.586,5.237000,VDD_IN,"{'volt': 4960, 'curr': 1056, 'warn': 3024, 'crit': 4032, 'power': 5237, 'online': True, 'avg': 5253, 'name': 'VDD_IN'}"
2.787,5.237000,VDD_IN,"{'volt': 4960, 'curr': 1056, 'warn': 3024, 'crit': 4032, 'power': 5237, 'online': True, 'avg': 5253, 'name': 'VDD_IN'}"
2.989,5.237000,VDD_IN,"{'volt': 4960, 'curr': 1056, 'warn': 3024, 'crit': 4032, 'power': 5237, 'online': True, 'avg': 5253, 'name': 'VDD_IN'}"
3.189,5.198000,VDD_IN,"{'volt': 4960, 'curr': 1048, 'warn': 3024, 'crit': 4032, 'power': 5198, 'online': True, 'avg': 5225, 'name': 'VDD_IN'}"
3.389,5.198000,VDD_IN,"{'volt': 4960, 'curr': 1048, 'warn': 3024, 'crit': 4032, 'power': 5198, 'online': True, 'avg': 5225, 'name': 'VDD_IN'}"
3.590,5.198000,VDD_IN,"{'volt': 4960, 'curr': 1048, 'warn': 3024, 'crit': 4032, 'power': 5198, 'online': True, 'avg': 5225, 'name': 'VDD_IN'}"
3.790,5.198000,VDD_IN,"{'volt': 4960, 'curr': 1048, 'warn': 3024, 'crit': 4032, 'power': 5198, 'online': True, 'avg': 5225, 'name': 'VDD_IN'}"
3.990,5.198000,VDD_IN,"{'volt': 4960, 'curr': 1048, 'warn': 3024, 'crit': 4032, 'power': 5198, 'online': True, 'avg': 5225, 'name': 'VDD_IN'}"
4.191,5.436000,VDD_IN,"{'volt': 4960, 'curr': 1096, 'warn': 3024, 'crit': 4032, 'power': 5436, 'online': True, 'avg': 5330, 'name': 'VDD_IN'}"
4.391,5.436000,VDD_IN,"{'volt': 4960, 'curr': 1096, 'warn': 3024, 'crit': 4032, 'power': 5436, 'online': True, 'avg': 5330, 'name': 'VDD_IN'}"
4.591,5.436000,VDD_IN,"{'volt': 4960, 'curr': 1096, 'warn': 3024, 'crit': 4032, 'power': 5436, 'online': True, 'avg': 5330, 'name': 'VDD_IN'}"
4.791,5.436000,VDD_IN,"{'volt': 4960, 'curr': 1096, 'warn': 3024, 'crit': 4032, 'power': 5436, 'online': True, 'avg': 5330, 'name': 'VDD_IN'}"
4.992,5.436000,VDD_IN,"{'volt': 4960, 'curr': 1096, 'warn': 3024, 'crit': 4032, 'power': 5436, 'online': True, 'avg': 5330, 'name': 'VDD_IN'}"
5.192,5.198000,VDD_IN,"{'volt': 4960, 'curr': 1048, 'warn': 3024, 'crit': 4032, 'power': 5198, 'online': True, 'avg': 5264, 'name': 'VDD_IN'}"
5.392,5.198000,VDD_IN,"{'volt': 4960, 'curr': 1048, 'warn': 3024, 'crit': 4032, 'power': 5198, 'online': True, 'avg': 5264, 'name': 'VDD_IN'}"
5.592,5.198000,VDD_IN,"{'volt': 4960, 'curr': 1048, 'warn': 3024, 'crit': 4032, 'power': 5198, 'online': True, 'avg': 5264, 'name': 'VDD_IN'}"
5.793,5.198000,VDD_IN,"{'volt': 4960, 'curr': 1048, 'warn': 3024, 'crit': 4032, 'power': 5198, 'online': True, 'avg': 5264, 'name': 'VDD_IN'}"
5.993,5.268000,VDD_IN,"{'volt': 4952, 'curr': 1064, 'warn': 3024, 'crit': 4032, 'power': 5268, 'online': True, 'avg': 5266, 'name': 'VDD_IN'}"
6.194,5.268000,VDD_IN,"{'volt': 4952, 'curr': 1064, 'warn': 3024, 'crit': 4032, 'power': 5268, 'online': True, 'avg': 5266, 'name': 'VDD_IN'}"
6.394,5.268000,VDD_IN,"{'volt': 4952, 'curr': 1064, 'warn': 3024, 'crit': 4032, 'power': 5268, 'online': True, 'avg': 5266, 'name': 'VDD_IN'}"
6.594,5.268000,VDD_IN,"{'volt': 4952, 'curr': 1064, 'warn': 3024, 'crit': 4032, 'power': 5268, 'online': True, 'avg': 5266, 'name': 'VDD_IN'}"
6.794,5.268000,VDD_IN,"{'volt': 4952, 'curr': 1064, 'warn': 3024, 'crit': 4032, 'power': 5268, 'online': True, 'avg': 5266, 'name': 'VDD_IN'}"
6.995,5.268000,VDD_IN,"{'volt': 4952, 'curr': 1064, 'warn': 3024, 'crit': 4032, 'power': 5268, 'online': True, 'avg': 5266, 'name': 'VDD_IN'}"
