t_s,watts,rail,raw_power
1.055,3.200000,POM_5V_IN,"{'volt': 5064, 'curr': 624, 'power': 3200, 'warn': 32760, 'crit': 32760, 'online': True, 'avg': 2817, 'name': 'POM_5V_IN'}"
2.057,2.849000,POM_5V_IN,"{'volt': 5088, 'curr': 560, 'power': 2849, 'warn': 32760, 'crit': 32760, 'online': True, 'avg': 2833, 'name': 'POM_5V_IN'}"
3.058,2.731000,POM_5V_IN,"{'volt': 5096, 'curr': 528, 'power': 2731, 'warn': 32760, 'crit': 32760, 'online': True, 'avg': 2782, 'name': 'POM_5V_IN'}"
4.059,2.808000,POM_5V_IN,"{'volt': 5088, 'curr': 552, 'power': 2808, 'warn': 32760, 'crit': 32760, 'online': True, 'avg': 2795, 'name': 'POM_5V_IN'}"
5.061,2.772000,POM_5V_IN,"{'volt': 5096, 'curr': 544, 'power': 2772, 'warn': 32760, 'crit': 32760, 'online': True, 'avg': 2783, 'name': 'POM_5V_IN'}"
6.062,3.048000,POM_5V_IN,"{'volt': 5080, 'curr': 592, 'power': 3048, 'warn': 32760, 'crit': 32760, 'online': True, 'avg': 2915, 'name': 'POM_5V_IN'}"
7.062,2.808000,POM_5V_IN,"{'volt': 5088, 'curr': 552, 'power': 2808, 'warn': 32760, 'crit': 32760, 'online': True, 'avg': 2861, 'name': 'POM_5V_IN'}"
8.063,2.453000,POM_5V_IN,"{'volt': 5112, 'curr': 480, 'power': 2453, 'warn': 32760, 'crit': 32760, 'online': True, 'avg': 2657, 'name': 'POM_5V_IN'}"
9.065,2.371000,POM_5V_IN,"{'volt': 5112, 'curr': 464, 'power': 2371, 'warn': 32760, 'crit': 32760, 'online': True, 'avg': 2514, 'name': 'POM_5V_IN'}"
10.066,2.453000,POM_5V_IN,"{'volt': 5112, 'curr': 480, 'power': 2453, 'warn': 32760, 'crit': 32760, 'online': True, 'avg': 2483, 'name': 'POM_5V_IN'}"
11.068,2.371000,POM_5V_IN,"{'volt': 5112, 'curr': 464, 'power': 2371, 'warn': 32760, 'crit': 32760, 'online': True, 'avg': 2427, 'name': 'POM_5V_IN'}"
