t_s,watts,rail,raw_power
1.401,2.849000,POM_5V_IN,"{'volt': 5088, 'curr': 560, 'power': 2849, 'warn': 32760, 'crit': 32760, 'online': True, 'avg': 2715, 'name': 'POM_5V_IN'}"
2.402,2.727000,POM_5V_IN,"{'volt': 5088, 'curr': 536, 'power': 2727, 'warn': 32760, 'crit': 32760, 'online': True, 'avg': 2721, 'name': 'POM_5V_IN'}"
3.404,3.513000,POM_5V_IN,"{'volt': 5048, 'curr': 696, 'power': 3513, 'warn': 32760, 'crit': 32760, 'online': True, 'avg': 3117, 'name': 'POM_5V_IN'}"
4.404,4.657000,POM_5V_IN,"{'volt': 4976, 'curr': 936, 'power': 4657, 'warn': 32760, 'crit': 32760, 'online': True, 'avg': 3887, 'name': 'POM_5V_IN'}"
5.405,4.697000,POM_5V_IN,"{'volt': 4976, 'curr': 944, 'power': 4697, 'warn': 32760, 'crit': 32760, 'online': True, 'avg': 4292, 'name': 'POM_5V_IN'}"
6.408,4.769000,POM_5V_IN,"{'volt': 4968, 'curr': 960, 'power': 4769, 'warn': 32760, 'crit': 32760, 'online': True, 'avg': 4530, 'name': 'POM_5V_IN'}"
7.409,4.880000,POM_5V_IN,"{'volt': 4960, 'curr': 992, 'power': 4880, 'warn': 32760, 'crit': 32760, 'online': True, 'avg': 4705, 'name': 'POM_5V_IN'}"
8.410,4.769000,POM_5V_IN,"{'volt': 4968, 'curr': 960, 'power': 4769, 'warn': 32760, 'crit': 32760, 'online': True, 'avg': 4737, 'name': 'POM_5V_IN'}"
9.411,4.737000,POM_5V_IN,"{'volt': 4976, 'curr': 952, 'power': 4737, 'warn': 32760, 'crit': 32760, 'online': True, 'avg': 4737, 'name': 'POM_5V_IN'}"
10.412,4.776000,POM_5V_IN,"{'volt': 4976, 'curr': 960, 'power': 4776, 'warn': 32760, 'crit': 32760, 'online': True, 'avg': 4756, 'name': 'POM_5V_IN'}"
11.412,4.697000,POM_5V_IN,"{'volt': 4976, 'curr': 944, 'power': 4697, 'warn': 32760, 'crit': 32760, 'online': True, 'avg': 4726, 'name': 'POM_5V_IN'}"
12.413,4.776000,POM_5V_IN,"{'volt': 4976, 'curr': 960, 'power': 4776, 'warn': 32760, 'crit': 32760, 'online': True, 'avg': 4751, 'name': 'POM_5V_IN'}"
13.414,4.776000,POM_5V_IN,"{'volt': 4976, 'curr': 960, 'power': 4776, 'warn': 32760, 'crit': 32760, 'online': True, 'avg': 4763, 'name': 'POM_5V_IN'}"
14.415,4.657000,POM_5V_IN,"{'volt': 4976, 'curr': 936, 'power': 4657, 'warn': 32760, 'crit': 32760, 'online': True, 'avg': 4710, 'name': 'POM_5V_IN'}"
15.416,4.737000,POM_5V_IN,"{'volt': 4976, 'curr': 952, 'power': 4737, 'warn': 32760, 'crit': 32760, 'online': True, 'avg': 4723, 'name': 'POM_5V_IN'}"
16.417,4.776000,POM_5V_IN,"{'volt': 4976, 'curr': 960, 'power': 4776, 'warn': 32760, 'crit': 32760, 'online': True, 'avg': 4749, 'name': 'POM_5V_IN'}"
17.418,4.737000,POM_5V_IN,"{'volt': 4976, 'curr': 952, 'power': 4737, 'warn': 32760, 'crit': 32760, 'online': True, 'avg': 4743, 'name': 'POM_5V_IN'}"
18.419,3.083000,POM_5V_IN,"{'volt': 5080, 'curr': 608, 'power': 3083, 'warn': 32760, 'crit': 32760, 'online': True, 'avg': 3913, 'name': 'POM_5V_IN'}"
19.420,2.849000,POM_5V_IN,"{'volt': 5088, 'curr': 560, 'power': 2849, 'warn': 32760, 'crit': 32760, 'online': True, 'avg': 3381, 'name': 'POM_5V_IN'}"
20.421,3.164000,POM_5V_IN,"{'volt': 5072, 'curr': 624, 'power': 3164, 'warn': 32760, 'crit': 32760, 'online': True, 'avg': 3272, 'name': 'POM_5V_IN'}"
21.422,3.048000,POM_5V_IN,"{'volt': 5080, 'curr': 600, 'power': 3048, 'warn': 32760, 'crit': 32760, 'online': True, 'avg': 3160, 'name': 'POM_5V_IN'}"
22.423,2.772000,POM_5V_IN,"{'volt': 5096, 'curr': 544, 'power': 2772, 'warn': 32760, 'crit': 32760, 'online': True, 'avg': 2966, 'name': 'POM_5V_IN'}"
23.424,2.808000,POM_5V_IN,"{'volt': 5088, 'curr': 552, 'power': 2808, 'warn': 32760, 'crit': 32760, 'online': True, 'avg': 2887, 'name': 'POM_5V_IN'}"
24.426,3.083000,POM_5V_IN,"{'volt': 5072, 'curr': 608, 'power': 3083, 'warn': 32760, 'crit': 32760, 'online': True, 'avg': 2985, 'name': 'POM_5V_IN'}"
25.427,3.124000,POM_5V_IN,"{'volt': 5072, 'curr': 608, 'power': 3124, 'warn': 32760, 'crit': 32760, 'online': True, 'avg': 3054, 'name': 'POM_5V_IN'}"
26.428,3.083000,POM_5V_IN,"{'volt': 5072, 'curr': 608, 'power': 3083, 'warn': 32760, 'crit': 32760, 'online': True, 'avg': 3068, 'name': 'POM_5V_IN'}"
27.429,2.808000,POM_5V_IN,"{'volt': 5088, 'curr': 552, 'power': 2808, 'warn': 32760, 'crit': 32760, 'online': True, 'avg': 2938, 'name': 'POM_5V_IN'}"
