t_s,watts,rail,raw_power
1.292,2.763000,POM_5V_IN,"{'volt': 5080, 'curr': 544, 'power': 2763, 'warn': 32760, 'crit': 32760, 'online': True, 'avg': 2688, 'name': 'POM_5V_IN'}"
2.293,2.727000,POM_5V_IN,"{'volt': 5088, 'curr': 528, 'power': 2727, 'warn': 32760, 'crit': 32760, 'online': True, 'avg': 2707, 'name': 'POM_5V_IN'}"
3.294,2.727000,POM_5V_IN,"{'volt': 5088, 'curr': 536, 'power': 2727, 'warn': 32760, 'crit': 32760, 'online': True, 'avg': 2717, 'name': 'POM_5V_IN'}"
4.296,2.763000,POM_5V_IN,"{'volt': 5088, 'curr': 544, 'power': 2763, 'warn': 32760, 'crit': 32760, 'online': True, 'avg': 2740, 'name': 'POM_5V_IN'}"
5.296,2.804000,POM_5V_IN,"{'volt': 5080, 'curr': 552, 'power': 2804, 'warn': 32760, 'crit': 32760, 'online': True, 'avg': 2772, 'name': 'POM_5V_IN'}"
6.297,4.721000,POM_5V_IN,"{'volt': 4960, 'curr': 952, 'power': 4721, 'warn': 32760, 'crit': 32760, 'online': True, 'avg': 3746, 'name': 'POM_5V_IN'}"
7.298,4.650000,POM_5V_IN,"{'volt': 4968, 'curr': 936, 'power': 4650, 'warn': 32760, 'crit': 32760, 'online': True, 'avg': 4198, 'name': 'POM_5V_IN'}"
8.299,4.570000,POM_5V_IN,"{'volt': 4968, 'curr': 920, 'power': 4570, 'warn': 32760, 'crit': 32760, 'online': True, 'avg': 4384, 'name': 'POM_5V_IN'}"
9.300,4.801000,POM_5V_IN,"{'volt': 4960, 'curr': 968, 'power': 4801, 'warn': 32760, 'crit': 32760, 'online': True, 'avg': 4592, 'name': 'POM_5V_IN'}"
10.301,4.872000,POM_5V_IN,"{'volt': 4952, 'curr': 984, 'power': 4872, 'warn': 32760, 'crit': 32760, 'online': True, 'avg': 4732, 'name': 'POM_5V_IN'}"
11.302,4.801000,POM_5V_IN,"{'volt': 4960, 'curr': 968, 'power': 4801, 'warn': 32760, 'crit': 32760, 'online': True, 'avg': 4766, 'name': 'POM_5V_IN'}"
12.303,4.761000,POM_5V_IN,"{'volt': 4960, 'curr': 960, 'power': 4761, 'warn': 32760, 'crit': 32760, 'online': True, 'avg': 4763, 'name': 'POM_5V_IN'}"
13.304,4.801000,POM_5V_IN,"{'volt': 4960, 'curr': 968, 'power': 4801, 'warn': 32760, 'crit': 32760, 'online': True, 'avg': 4782, 'name': 'POM_5V_IN'}"
14.305,4.761000,POM_5V_IN,"{'volt': 4960, 'curr': 960, 'power': 4761, 'warn': 32760, 'crit': 32760, 'online': True, 'avg': 4771, 'name': 'POM_5V_IN'}"
15.306,4.657000,POM_5V_IN,"{'volt': 4976, 'curr': 936, 'power': 4657, 'warn': 32760, 'crit': 32760, 'online': True, 'avg': 4714, 'name': 'POM_5V_IN'}"
16.307,4.650000,POM_5V_IN,"{'volt': 4968, 'curr': 936, 'power': 4650, 'warn': 32760, 'crit': 32760, 'online': True, 'avg': 4682, 'name': 'POM_5V_IN'}"
17.309,4.689000,POM_5V_IN,"{'volt': 4968, 'curr': 944, 'power': 4689, 'warn': 32760, 'crit': 32760, 'online': True, 'avg': 4685, 'name': 'POM_5V_IN'}"
18.310,4.657000,POM_5V_IN,"{'volt': 4976, 'curr': 936, 'power': 4657, 'warn': 32760, 'crit': 32760, 'online': True, 'avg': 4671, 'name': 'POM_5V_IN'}"
19.311,4.617000,POM_5V_IN,"{'volt': 4976, 'curr': 928, 'power': 4617, 'warn': 32760, 'crit': 32760, 'online': True, 'avg': 4644, 'name': 'POM_5V_IN'}"
20.313,3.159000,POM_5V_IN,"{'volt': 5064, 'curr': 624, 'power': 3159, 'warn': 32760, 'crit': 32760, 'online': True, 'avg': 3901, 'name': 'POM_5V_IN'}"
21.314,2.808000,POM_5V_IN,"{'volt': 5088, 'curr': 544, 'power': 2808, 'warn': 32760, 'crit': 32760, 'online': True, 'avg': 3354, 'name': 'POM_5V_IN'}"
22.315,2.767000,POM_5V_IN,"{'volt': 5088, 'curr': 544, 'power': 2767, 'warn': 32760, 'crit': 32760, 'online': True, 'avg': 3060, 'name': 'POM_5V_IN'}"
23.316,2.727000,POM_5V_IN,"{'volt': 5088, 'curr': 536, 'power': 2727, 'warn': 32760, 'crit': 32760, 'online': True, 'avg': 2893, 'name': 'POM_5V_IN'}"
24.318,2.767000,POM_5V_IN,"{'volt': 5088, 'curr': 544, 'power': 2767, 'warn': 32760, 'crit': 32760, 'online': True, 'avg': 2830, 'name': 'POM_5V_IN'}"
25.319,2.767000,POM_5V_IN,"{'volt': 5088, 'curr': 544, 'power': 2767, 'warn': 32760, 'crit': 32760, 'online': True, 'avg': 2798, 'name': 'POM_5V_IN'}"
26.320,2.926000,POM_5V_IN,"{'volt': 5080, 'curr': 576, 'power': 2926, 'warn': 32760, 'crit': 32760, 'online': True, 'avg': 2862, 'name': 'POM_5V_IN'}"
