t_s,watts,rail,raw_power
1.439,3.271000,POM_5V_IN,"{'volt': 5048, 'curr': 648, 'power': 3271, 'warn': 32760, 'crit': 32760, 'online': True, 'avg': 2833, 'name': 'POM_5V_IN'}"
2.440,4.721000,POM_5V_IN,"{'volt': 4960, 'curr': 952, 'power': 4721, 'warn': 32760, 'crit': 32760, 'online': True, 'avg': 3777, 'name': 'POM_5V_IN'}"
3.441,4.761000,POM_5V_IN,"{'volt': 4960, 'curr': 960, 'power': 4761, 'warn': 32760, 'crit': 32760, 'online': True, 'avg': 4269, 'name': 'POM_5V_IN'}"
4.441,4.952000,POM_5V_IN,"{'volt': 4952, 'curr': 992, 'power': 4952, 'warn': 32760, 'crit': 32760, 'online': True, 'avg': 4610, 'name': 'POM_5V_IN'}"
5.442,4.880000,POM_5V_IN,"{'volt': 4960, 'curr': 984, 'power': 4880, 'warn': 32760, 'crit': 32760, 'online': True, 'avg': 4745, 'name': 'POM_5V_IN'}"
6.443,4.840000,POM_5V_IN,"{'volt': 4960, 'curr': 976, 'power': 4840, 'warn': 32760, 'crit': 32760, 'online': True, 'avg': 4792, 'name': 'POM_5V_IN'}"
7.444,4.840000,POM_5V_IN,"{'volt': 4960, 'curr': 976, 'power': 4840, 'warn': 32760, 'crit': 32760, 'online': True, 'avg': 4816, 'name': 'POM_5V_IN'}"
8.445,4.809000,POM_5V_IN,"{'volt': 4968, 'curr': 968, 'power': 4809, 'warn': 32760, 'crit': 32760, 'online': True, 'avg': 4812, 'name': 'POM_5V_IN'}"
9.446,4.880000,POM_5V_IN,"{'volt': 4960, 'curr': 984, 'power': 4880, 'warn': 32760, 'crit': 32760, 'online': True, 'avg': 4846, 'name': 'POM_5V_IN'}"
10.447,4.769000,POM_5V_IN,"{'volt': 4968, 'curr': 960, 'power': 4769, 'warn': 32760, 'crit': 32760, 'online': True, 'avg': 4807, 'name': 'POM_5V_IN'}"
11.448,4.801000,POM_5V_IN,"{'volt': 4960, 'curr': 968, 'power': 4801, 'warn': 32760, 'crit': 32760, 'online': True, 'avg': 4804, 'name': 'POM_5V_IN'}"
12.449,4.769000,POM_5V_IN,"{'volt': 4968, 'curr': 960, 'power': 4769, 'warn': 32760, 'crit': 32760, 'online': True, 'avg': 4786, 'name': 'POM_5V_IN'}"
13.450,4.880000,POM_5V_IN,"{'volt': 4960, 'curr': 984, 'power': 4880, 'warn': 32760, 'crit': 32760, 'online': True, 'avg': 4833, 'name': 'POM_5V_IN'}"
14.452,4.840000,POM_5V_IN,"{'volt': 4960, 'curr': 976, 'power': 4840, 'warn': 32760, 'crit': 32760, 'online': True, 'avg': 4836, 'name': 'POM_5V_IN'}"
15.453,4.769000,POM_5V_IN,"{'volt': 4968, 'curr': 960, 'power': 4769, 'warn': 32760, 'crit': 32760, 'online': True, 'avg': 4802, 'name': 'POM_5V_IN'}"
16.454,3.159000,POM_5V_IN,"{'volt': 5064, 'curr': 632, 'power': 3159, 'warn': 32760, 'crit': 32760, 'online': True, 'avg': 3980, 'name': 'POM_5V_IN'}"
17.455,3.473000,POM_5V_IN,"{'volt': 5048, 'curr': 688, 'power': 3473, 'warn': 32760, 'crit': 32760, 'online': True, 'avg': 3726, 'name': 'POM_5V_IN'}"
