t_s,watts,rail,raw_power
1.497,2.772000,POM_5V_IN,"{'volt': 5096, 'curr': 544, 'power': 2772, 'warn': 32760, 'crit': 32760, 'online': True, 'avg': 2557, 'name': 'POM_5V_IN'}"
2.498,2.731000,POM_5V_IN,"{'volt': 5096, 'curr': 536, 'power': 2731, 'warn': 32760, 'crit': 32760, 'online': True, 'avg': 2644, 'name': 'POM_5V_IN'}"
3.499,2.731000,POM_5V_IN,"{'volt': 5096, 'curr': 536, 'power': 2731, 'warn': 32760, 'crit': 32760, 'online': True, 'avg': 2687, 'name': 'POM_5V_IN'}"
4.501,2.690000,POM_5V_IN,"{'volt': 5096, 'curr': 528, 'power': 2690, 'warn': 32760, 'crit': 32760, 'online': True, 'avg': 2688, 'name': 'POM_5V_IN'}"
5.502,2.731000,POM_5V_IN,"{'volt': 5096, 'curr': 536, 'power': 2731, 'warn': 32760, 'crit': 32760, 'online': True, 'avg': 2709, 'name': 'POM_5V_IN'}"
6.503,2.731000,POM_5V_IN,"{'volt': 5096, 'curr': 536, 'power': 2731, 'warn': 32760, 'crit': 32760, 'online': True, 'avg': 2720, 'name': 'POM_5V_IN'}"
7.504,3.898000,POM_5V_IN,"{'volt': 5024, 'curr': 776, 'power': 3898, 'warn': 32760, 'crit': 32760, 'online': True, 'avg': 3309, 'name': 'POM_5V_IN'}"
8.505,4.635000,POM_5V_IN,"{'volt': 4952, 'curr': 936, 'power': 4635, 'warn': 32760, 'crit': 32760, 'online': True, 'avg': 3972, 'name': 'POM_5V_IN'}"
9.506,4.674000,POM_5V_IN,"{'volt': 4952, 'curr': 944, 'power': 4674, 'warn': 32760, 'crit': 32760, 'online': True, 'avg': 4323, 'name': 'POM_5V_IN'}"
10.507,4.635000,POM_5V_IN,"{'volt': 4952, 'curr': 936, 'power': 4635, 'warn': 32760, 'crit': 32760, 'online': True, 'avg': 4479, 'name': 'POM_5V_IN'}"
11.508,4.714000,POM_5V_IN,"{'volt': 4952, 'curr': 952, 'power': 4714, 'warn': 32760, 'crit': 32760, 'online': True, 'avg': 4596, 'name': 'POM_5V_IN'}"
12.509,4.595000,POM_5V_IN,"{'volt': 4952, 'curr': 928, 'power': 4595, 'warn': 32760, 'crit': 32760, 'online': True, 'avg': 4595, 'name': 'POM_5V_IN'}"
13.510,4.602000,POM_5V_IN,"{'volt': 4960, 'curr': 928, 'power': 4602, 'warn': 32760, 'crit': 32760, 'online': True, 'avg': 4598, 'name': 'POM_5V_IN'}"
