t_s,watts,rail,raw_power
0.666,2.645000,POM_5V_IN,"{'volt': 5088, 'curr': 520, 'power': 2645, 'warn': 32760, 'crit': 32760, 'online': True, 'avg': 2645, 'name': 'POM_5V_IN'}"
1.668,2.327000,POM_5V_IN,"{'volt': 5104, 'curr': 456, 'power': 2327, 'warn': 32760, 'crit': 32760, 'online': True, 'avg': 2486, 'name': 'POM_5V_IN'}"
2.669,2.208000,POM_5V_IN,"{'volt': 5112, 'curr': 432, 'power': 2208, 'warn': 32760, 'crit': 32760, 'online': True, 'avg': 2347, 'name': 'POM_5V_IN'}"
3.671,2.249000,POM_5V_IN,"{'volt': 5112, 'curr': 432, 'power': 2249, 'warn': 32760, 'crit': 32760, 'online': True, 'avg': 2298, 'name': 'POM_5V_IN'}"
4.673,2.208000,POM_5V_IN,"{'volt': 5112, 'curr': 432, 'power': 2208, 'warn': 32760, 'crit': 32760, 'online': True, 'avg': 2253, 'name': 'POM_5V_IN'}"
5.674,2.286000,POM_5V_IN,"{'volt': 5104, 'curr': 448, 'power': 2286, 'warn': 32760, 'crit': 32760, 'online': True, 'avg': 2269, 'name': 'POM_5V_IN'}"
6.676,2.249000,POM_5V_IN,"{'volt': 5112, 'curr': 440, 'power': 2249, 'warn': 32760, 'crit': 32760, 'online': True, 'avg': 2259, 'name': 'POM_5V_IN'}"
7.677,2.249000,POM_5V_IN,"{'volt': 5112, 'curr': 440, 'power': 2249, 'warn': 32760, 'crit': 32760, 'online': True, 'avg': 2254, 'name': 'POM_5V_IN'}"
8.679,2.208000,POM_5V_IN,"{'volt': 5112, 'curr': 432, 'power': 2208, 'warn': 32760, 'crit': 32760, 'online': True, 'avg': 2231, 'name': 'POM_5V_IN'}"
9.680,2.249000,POM_5V_IN,"{'volt': 5112, 'curr': 440, 'power': 2249, 'warn': 32760, 'crit': 32760, 'online': True, 'avg': 2240, 'name': 'POM_5V_IN'}"
10.682,2.208000,POM_5V_IN,"{'volt': 5112, 'curr': 432, 'power': 2208, 'warn': 32760, 'crit': 32760, 'online': True, 'avg': 2224, 'name': 'POM_5V_IN'}"
