t_s,watts,rail,raw_power
1.348,2.876000,POM_5V_IN,"{'volt': 5064, 'curr': 568, 'power': 2876, 'warn': 32760, 'crit': 32760, 'online': True, 'avg': 2625, 'name': 'POM_5V_IN'}"
2.349,2.641000,POM_5V_IN,"{'volt': 5080, 'curr': 520, 'power': 2641, 'warn': 32760, 'crit': 32760, 'online': True, 'avg': 2633, 'name': 'POM_5V_IN'}"
3.350,2.600000,POM_5V_IN,"{'volt': 5080, 'curr': 512, 'power': 2600, 'warn': 32760, 'crit': 32760, 'online': True, 'avg': 2616, 'name': 'POM_5V_IN'}"
4.351,2.600000,POM_5V_IN,"{'volt': 5080, 'curr': 512, 'power': 2600, 'warn': 32760, 'crit': 32760, 'online': True, 'avg': 2608, 'name': 'POM_5V_IN'}"
5.353,2.600000,POM_5V_IN,"{'volt': 5080, 'curr': 512, 'power': 2600, 'warn': 32760, 'crit': 32760, 'online': True, 'avg': 2604, 'name': 'POM_5V_IN'}"
6.354,2.600000,POM_5V_IN,"{'volt': 5080, 'curr': 512, 'power': 2600, 'warn': 32760, 'crit': 32760, 'online': True, 'avg': 2602, 'name': 'POM_5V_IN'}"
7.356,2.600000,POM_5V_IN,"{'volt': 5080, 'curr': 512, 'power': 2600, 'warn': 32760, 'crit': 32760, 'online': True, 'avg': 2601, 'name': 'POM_5V_IN'}"
8.358,2.641000,POM_5V_IN,"{'volt': 5080, 'curr': 520, 'power': 2641, 'warn': 32760, 'crit': 32760, 'online': True, 'avg': 2621, 'name': 'POM_5V_IN'}"
9.359,2.641000,POM_5V_IN,"{'volt': 5080, 'curr': 512, 'power': 2641, 'warn': 32760, 'crit': 32760, 'online': True, 'avg': 2631, 'name': 'POM_5V_IN'}"
10.360,2.871000,POM_5V_IN,"{'volt': 5056, 'curr': 568, 'power': 2871, 'warn': 32760, 'crit': 32760, 'online': True, 'avg': 2751, 'name': 'POM_5V_IN'}"
11.361,2.678000,POM_5V_IN,"{'volt': 5072, 'curr': 528, 'power': 2678, 'warn': 32760, 'crit': 32760, 'online': True, 'avg': 2714, 'name': 'POM_5V_IN'}"
12.362,2.876000,POM_5V_IN,"{'volt': 5064, 'curr': 568, 'power': 2876, 'warn': 32760, 'crit': 32760, 'online': True, 'avg': 2795, 'name': 'POM_5V_IN'}"
13.363,2.912000,POM_5V_IN,"{'volt': 5056, 'curr': 576, 'power': 2912, 'warn': 32760, 'crit': 32760, 'online': True, 'avg': 2853, 'name': 'POM_5V_IN'}"
14.364,2.795000,POM_5V_IN,"{'volt': 5064, 'curr': 552, 'power': 2795, 'warn': 32760, 'crit': 32760, 'online': True, 'avg': 2824, 'name': 'POM_5V_IN'}"
15.365,2.871000,POM_5V_IN,"{'volt': 5056, 'curr': 568, 'power': 2871, 'warn': 32760, 'crit': 32760, 'online': True, 'avg': 2847, 'name': 'POM_5V_IN'}"
16.366,2.876000,POM_5V_IN,"{'volt': 5064, 'curr': 568, 'power': 2876, 'warn': 32760, 'crit': 32760, 'online': True, 'avg': 2861, 'name': 'POM_5V_IN'}"
17.367,2.876000,POM_5V_IN,"{'volt': 5064, 'curr': 568, 'power': 2876, 'warn': 32760, 'crit': 32760, 'online': True, 'avg': 2868, 'name': 'POM_5V_IN'}"
18.369,2.876000,POM_5V_IN,"{'volt': 5064, 'curr': 568, 'power': 2876, 'warn': 32760, 'crit': 32760, 'online': True, 'avg': 2872, 'name': 'POM_5V_IN'}"
19.369,2.876000,POM_5V_IN,"{'volt': 5064, 'curr': 568, 'power': 2876, 'warn': 32760, 'crit': 32760, 'online': True, 'avg': 2874, 'name': 'POM_5V_IN'}"
20.370,2.876000,POM_5V_IN,"{'volt': 5064, 'curr': 568, 'power': 2876, 'warn': 32760, 'crit': 32760, 'online': True, 'avg': 2875, 'name': 'POM_5V_IN'}"
21.371,2.835000,POM_5V_IN,"{'volt': 5064, 'curr': 560, 'power': 2835, 'warn': 32760, 'crit': 32760, 'online': True, 'avg': 2855, 'name': 'POM_5V_IN'}"
22.372,2.912000,POM_5V_IN,"{'volt': 5056, 'curr': 576, 'power': 2912, 'warn': 32760, 'crit': 32760, 'online': True, 'avg': 2883, 'name': 'POM_5V_IN'}"
23.373,2.912000,POM_5V_IN,"{'volt': 5056, 'curr': 576, 'power': 2912, 'warn': 32760, 'crit': 32760, 'online': True, 'avg': 2897, 'name': 'POM_5V_IN'}"
24.374,2.759000,POM_5V_IN,"{'volt': 5072, 'curr': 544, 'power': 2759, 'warn': 32760, 'crit': 32760, 'online': True, 'avg': 2828, 'name': 'POM_5V_IN'}"
25.375,2.759000,POM_5V_IN,"{'volt': 5072, 'curr': 536, 'power': 2759, 'warn': 32760, 'crit': 32760, 'online': True, 'avg': 2793, 'name': 'POM_5V_IN'}"
26.376,2.600000,POM_5V_IN,"{'volt': 5080, 'curr': 512, 'power': 2600, 'warn': 32760, 'crit': 32760, 'online': True, 'avg': 2696, 'name': 'POM_5V_IN'}"
27.377,2.952000,POM_5V_IN,"{'volt': 5056, 'curr': 576, 'power': 2952, 'warn': 32760, 'crit': 32760, 'online': True, 'avg': 2824, 'name': 'POM_5V_IN'}"
28.379,2.641000,POM_5V_IN,"{'volt': 5080, 'curr': 520, 'power': 2641, 'warn': 32760, 'crit': 32760, 'online': True, 'avg': 2732, 'name': 'POM_5V_IN'}"
29.381,2.600000,POM_5V_IN,"{'volt': 5080, 'curr': 512, 'power': 2600, 'warn': 32760, 'crit': 32760, 'online': True, 'avg': 2666, 'name': 'POM_5V_IN'}"
30.382,2.600000,POM_5V_IN,"{'volt': 5080, 'curr': 512, 'power': 2600, 'warn': 32760, 'crit': 32760, 'online': True, 'avg': 2633, 'name': 'POM_5V_IN'}"
31.384,2.641000,POM_5V_IN,"{'volt': 5080, 'curr': 520, 'power': 2641, 'warn': 32760, 'crit': 32760, 'online': True, 'avg': 2637, 'name': 'POM_5V_IN'}"
32.386,2.637000,POM_5V_IN,"{'volt': 5072, 'curr': 520, 'power': 2637, 'warn': 32760, 'crit': 32760, 'online': True, 'avg': 2637, 'name': 'POM_5V_IN'}"
33.387,2.637000,POM_5V_IN,"{'volt': 5080, 'curr': 520, 'power': 2637, 'warn': 32760, 'crit': 32760, 'online': True, 'avg': 2637, 'name': 'POM_5V_IN'}"
34.389,2.600000,POM_5V_IN,"{'volt': 5080, 'curr': 512, 'power': 2600, 'warn': 32760, 'crit': 32760, 'online': True, 'avg': 2618, 'name': 'POM_5V_IN'}"
35.390,2.600000,POM_5V_IN,"{'volt': 5080, 'curr': 512, 'power': 2600, 'warn': 32760, 'crit': 32760, 'online': True, 'avg': 2609, 'name': 'POM_5V_IN'}"
36.392,2.600000,POM_5V_IN,"{'volt': 5080, 'curr': 512, 'power': 2600, 'warn': 32760, 'crit': 32760, 'online': True, 'avg': 2604, 'name': 'POM_5V_IN'}"
37.394,2.600000,POM_5V_IN,"{'volt': 5080, 'curr': 512, 'power': 2600, 'warn': 32760, 'crit': 32760, 'online': True, 'avg': 2602, 'name': 'POM_5V_IN'}"
38.395,2.600000,POM_5V_IN,"{'volt': 5080, 'curr': 512, 'power': 2600, 'warn': 32760, 'crit': 32760, 'online': True, 'avg': 2601, 'name': 'POM_5V_IN'}"
39.396,2.600000,POM_5V_IN,"{'volt': 5080, 'curr': 512, 'power': 2600, 'warn': 32760, 'crit': 32760, 'online': True, 'avg': 2600, 'name': 'POM_5V_IN'}"
40.397,2.641000,POM_5V_IN,"{'volt': 5080, 'curr': 512, 'power': 2641, 'warn': 32760, 'crit': 32760, 'online': True, 'avg': 2620, 'name': 'POM_5V_IN'}"
41.399,2.600000,POM_5V_IN,"{'volt': 5080, 'curr': 512, 'power': 2600, 'warn': 32760, 'crit': 32760, 'online': True, 'avg': 2610, 'name': 'POM_5V_IN'}"
42.401,2.641000,POM_5V_IN,"{'volt': 5080, 'curr': 512, 'power': 2641, 'warn': 32760, 'crit': 32760, 'online': True, 'avg': 2625, 'name': 'POM_5V_IN'}"
43.402,2.637000,POM_5V_IN,"{'volt': 5080, 'curr': 520, 'power': 2637, 'warn': 32760, 'crit': 32760, 'online': True, 'avg': 2631, 'name': 'POM_5V_IN'}"
44.404,2.600000,POM_5V_IN,"{'volt': 5080, 'curr': 512, 'power': 2600, 'warn': 32760, 'crit': 32760, 'online': True, 'avg': 2615, 'name': 'POM_5V_IN'}"
45.405,2.600000,POM_5V_IN,"{'volt': 5080, 'curr': 512, 'power': 2600, 'warn': 32760, 'crit': 32760, 'online': True, 'avg': 2607, 'name': 'POM_5V_IN'}"
46.407,2.641000,POM_5V_IN,"{'volt': 5080, 'curr': 520, 'power': 2641, 'warn': 32760, 'crit': 32760, 'online': True, 'avg': 2624, 'name': 'POM_5V_IN'}"
47.408,2.641000,POM_5V_IN,"{'volt': 5080, 'curr': 520, 'power': 2641, 'warn': 32760, 'crit': 32760, 'online': True, 'avg': 2632, 'name': 'POM_5V_IN'}"
48.410,2.641000,POM_5V_IN,"{'volt': 5080, 'curr': 520, 'power': 2641, 'warn': 32760, 'crit': 32760, 'online': True, 'avg': 2636, 'name': 'POM_5V_IN'}"
49.411,2.641000,POM_5V_IN,"{'volt': 5080, 'curr': 512, 'power': 2641, 'warn': 32760, 'crit': 32760, 'online': True, 'avg': 2638, 'name': 'POM_5V_IN'}"
50.412,2.637000,POM_5V_IN,"{'volt': 5080, 'curr': 520, 'power': 2637, 'warn': 32760, 'crit': 32760, 'online': True, 'avg': 2637, 'name': 'POM_5V_IN'}"
51.414,2.641000,POM_5V_IN,"{'volt': 5080, 'curr': 520, 'power': 2641, 'warn': 32760, 'crit': 32760, 'online': True, 'avg': 2639, 'name': 'POM_5V_IN'}"
52.415,2.678000,POM_5V_IN,"{'volt': 5072, 'curr': 528, 'power': 2678, 'warn': 32760, 'crit': 32760, 'online': True, 'avg': 2658, 'name': 'POM_5V_IN'}"
53.416,2.759000,POM_5V_IN,"{'volt': 5072, 'curr': 544, 'power': 2759, 'warn': 32760, 'crit': 32760, 'online': True, 'avg': 2708, 'name': 'POM_5V_IN'}"
54.417,2.678000,POM_5V_IN,"{'volt': 5072, 'curr': 520, 'power': 2678, 'warn': 32760, 'crit': 32760, 'online': True, 'avg': 2693, 'name': 'POM_5V_IN'}"
55.418,2.795000,POM_5V_IN,"{'volt': 5064, 'curr': 552, 'power': 2795, 'warn': 32760, 'crit': 32760, 'online': True, 'avg': 2744, 'name': 'POM_5V_IN'}"
56.419,2.718000,POM_5V_IN,"{'volt': 5072, 'curr': 536, 'power': 2718, 'warn': 32760, 'crit': 32760, 'online': True, 'avg': 2731, 'name': 'POM_5V_IN'}"
57.421,2.759000,POM_5V_IN,"{'volt': 5072, 'curr': 544, 'power': 2759, 'warn': 32760, 'crit': 32760, 'online': True, 'avg': 2745, 'name': 'POM_5V_IN'}"
58.422,2.759000,POM_5V_IN,"{'volt': 5072, 'curr': 544, 'power': 2759, 'warn': 32760, 'crit': 32760, 'online': True, 'avg': 2752, 'name': 'POM_5V_IN'}"
59.423,2.678000,POM_5V_IN,"{'volt': 5072, 'curr': 528, 'power': 2678, 'warn': 32760, 'crit': 32760, 'online': True, 'avg': 2715, 'name': 'POM_5V_IN'}"
60.424,2.759000,POM_5V_IN,"{'volt': 5072, 'curr': 544, 'power': 2759, 'warn': 32760, 'crit': 32760, 'online': True, 'avg': 2737, 'name': 'POM_5V_IN'}"
61.425,2.718000,POM_5V_IN,"{'volt': 5072, 'curr': 536, 'power': 2718, 'warn': 32760, 'crit': 32760, 'online': True, 'avg': 2727, 'name': 'POM_5V_IN'}"
62.426,2.795000,POM_5V_IN,"{'volt': 5064, 'curr': 552, 'power': 2795, 'warn': 32760, 'crit': 32760, 'online': True, 'avg': 2761, 'name': 'POM_5V_IN'}"
63.428,2.600000,POM_5V_IN,"{'volt': 5080, 'curr': 512, 'power': 2600, 'warn': 32760, 'crit': 32760, 'online': True, 'avg': 2680, 'name': 'POM_5V_IN'}"
64.429,2.600000,POM_5V_IN,"{'volt': 5080, 'curr': 512, 'power': 2600, 'warn': 32760, 'crit': 32760, 'online': True, 'avg': 2640, 'name': 'POM_5V_IN'}"
65.431,2.600000,POM_5V_IN,"{'volt': 5080, 'curr': 512, 'power': 2600, 'warn': 32760, 'crit': 32760, 'online': True, 'avg': 2620, 'name': 'POM_5V_IN'}"
66.432,2.600000,POM_5V_IN,"{'volt': 5080, 'curr': 512, 'power': 2600, 'warn': 32760, 'crit': 32760, 'online': True, 'avg': 2610, 'name': 'POM_5V_IN'}"
67.433,2.600000,POM_5V_IN,"{'volt': 5080, 'curr': 512, 'power': 2600, 'warn': 32760, 'crit': 32760, 'online': True, 'avg': 2605, 'name': 'POM_5V_IN'}"
68.435,2.600000,POM_5V_IN,"{'volt': 5080, 'curr': 512, 'power': 2600, 'warn': 32760, 'crit': 32760, 'online': True, 'avg': 2602, 'name': 'POM_5V_IN'}"
69.436,2.718000,POM_5V_IN,"{'volt': 5072, 'curr': 536, 'power': 2718, 'warn': 32760, 'crit': 32760, 'online': True, 'avg': 2660, 'name': 'POM_5V_IN'}"
70.437,2.759000,POM_5V_IN,"{'volt': 5072, 'curr': 544, 'power': 2759, 'warn': 32760, 'crit': 32760, 'online': True, 'avg': 2709, 'name': 'POM_5V_IN'}"
71.438,2.759000,POM_5V_IN,"{'volt': 5072, 'curr': 544, 'power': 2759, 'warn': 32760, 'crit': 32760, 'online': True, 'avg': 2734, 'name': 'POM_5V_IN'}"
72.439,2.759000,POM_5V_IN,"{'volt': 5072, 'curr': 544, 'power': 2759, 'warn': 32760, 'crit': 32760, 'online': True, 'avg': 2746, 'name': 'POM_5V_IN'}"
73.441,2.718000,POM_5V_IN,"{'volt': 5072, 'curr': 536, 'power': 2718, 'warn': 32760, 'crit': 32760, 'online': True, 'avg': 2732, 'name': 'POM_5V_IN'}"
74.441,2.641000,POM_5V_IN,"{'volt': 5080, 'curr': 520, 'power': 2641, 'warn': 32760, 'crit': 32760, 'online': True, 'avg': 2686, 'name': 'POM_5V_IN'}"
75.442,2.600000,POM_5V_IN,"{'volt': 5080, 'curr': 512, 'power': 2600, 'warn': 32760, 'crit': 32760, 'online': True, 'avg': 2643, 'name': 'POM_5V_IN'}"
76.443,2.600000,POM_5V_IN,"{'volt': 5080, 'curr': 512, 'power': 2600, 'warn': 32760, 'crit': 32760, 'online': True, 'avg': 2621, 'name': 'POM_5V_IN'}"
77.445,2.600000,POM_5V_IN,"{'volt': 5080, 'curr': 512, 'power': 2600, 'warn': 32760, 'crit': 32760, 'online': True, 'avg': 2610, 'name': 'POM_5V_IN'}"
78.445,2.600000,POM_5V_IN,"{'volt': 5080, 'curr': 512, 'power': 2600, 'warn': 32760, 'crit': 32760, 'online': True, 'avg': 2605, 'name': 'POM_5V_IN'}"
79.446,2.600000,POM_5V_IN,"{'volt': 5080, 'curr': 512, 'power': 2600, 'warn': 32760, 'crit': 32760, 'online': True, 'avg': 2602, 'name': 'POM_5V_IN'}"
