t_s,watts,rail,raw_power
1.453,2.763000,POM_5V_IN,"{'volt': 5080, 'curr': 536, 'power': 2763, 'warn': 32760, 'crit': 32760, 'online': True, 'avg': 2538, 'name': 'POM_5V_IN'}"
2.455,2.645000,POM_5V_IN,"{'volt': 5088, 'curr': 512, 'power': 2645, 'warn': 32760, 'crit': 32760, 'online': True, 'avg': 2591, 'name': 'POM_5V_IN'}"
3.457,2.609000,POM_5V_IN,"{'volt': 5096, 'curr': 512, 'power': 2609, 'warn': 32760, 'crit': 32760, 'online': True, 'avg': 2600, 'name': 'POM_5V_IN'}"
4.458,2.568000,POM_5V_IN,"{'volt': 5096, 'curr': 504, 'power': 2568, 'warn': 32760, 'crit': 32760, 'online': True, 'avg': 2584, 'name': 'POM_5V_IN'}"
5.460,2.609000,POM_5V_IN,"{'volt': 5096, 'curr': 512, 'power': 2609, 'warn': 32760, 'crit': 32760, 'online': True, 'avg': 2596, 'name': 'POM_5V_IN'}"
6.461,2.568000,POM_5V_IN,"{'volt': 5096, 'curr': 504, 'power': 2568, 'warn': 32760, 'crit': 32760, 'online': True, 'avg': 2582, 'name': 'POM_5V_IN'}"
7.463,2.609000,POM_5V_IN,"{'volt': 5096, 'curr': 512, 'power': 2609, 'warn': 32760, 'crit': 32760, 'online': True, 'avg': 2595, 'name': 'POM_5V_IN'}"
8.464,2.722000,POM_5V_IN,"{'volt': 5088, 'curr': 536, 'power': 2722, 'warn': 32760, 'crit': 32760, 'online': True, 'avg': 2658, 'name': 'POM_5V_IN'}"
9.465,2.686000,POM_5V_IN,"{'volt': 5088, 'curr': 528, 'power': 2686, 'warn': 32760, 'crit': 32760, 'online': True, 'avg': 2672, 'name': 'POM_5V_IN'}"
10.466,2.880000,POM_5V_IN,"{'volt': 5072, 'curr': 568, 'power': 2880, 'warn': 32760, 'crit': 32760, 'online': True, 'avg': 2776, 'name': 'POM_5V_IN'}"
11.467,2.686000,POM_5V_IN,"{'volt': 5088, 'curr': 528, 'power': 2686, 'warn': 32760, 'crit': 32760, 'online': True, 'avg': 2731, 'name': 'POM_5V_IN'}"
12.468,2.880000,POM_5V_IN,"{'volt': 5072, 'curr': 568, 'power': 2880, 'warn': 32760, 'crit': 32760, 'online': True, 'avg': 2805, 'name': 'POM_5V_IN'}"
13.469,2.880000,POM_5V_IN,"{'volt': 5072, 'curr': 568, 'power': 2880, 'warn': 32760, 'crit': 32760, 'online': True, 'avg': 2842, 'name': 'POM_5V_IN'}"
14.470,2.880000,POM_5V_IN,"{'volt': 5072, 'curr': 568, 'power': 2880, 'warn': 32760, 'crit': 32760, 'online': True, 'avg': 2861, 'name': 'POM_5V_IN'}"
15.471,2.880000,POM_5V_IN,"{'volt': 5072, 'curr': 568, 'power': 2880, 'warn': 32760, 'crit': 32760, 'online': True, 'avg': 2870, 'name': 'POM_5V_IN'}"
16.472,2.885000,POM_5V_IN,"{'volt': 5080, 'curr': 568, 'power': 2885, 'warn': 32760, 'crit': 32760, 'online': True, 'avg': 2877, 'name': 'POM_5V_IN'}"
17.474,2.921000,POM_5V_IN,"{'volt': 5072, 'curr': 576, 'power': 2921, 'warn': 32760, 'crit': 32760, 'online': True, 'avg': 2899, 'name': 'POM_5V_IN'}"
18.474,2.880000,POM_5V_IN,"{'volt': 5072, 'curr': 568, 'power': 2880, 'warn': 32760, 'crit': 32760, 'online': True, 'avg': 2889, 'name': 'POM_5V_IN'}"
19.475,2.880000,POM_5V_IN,"{'volt': 5072, 'curr': 568, 'power': 2880, 'warn': 32760, 'crit': 32760, 'online': True, 'avg': 2884, 'name': 'POM_5V_IN'}"
20.476,2.921000,POM_5V_IN,"{'volt': 5072, 'curr': 576, 'power': 2921, 'warn': 32760, 'crit': 32760, 'online': True, 'avg': 2902, 'name': 'POM_5V_IN'}"
21.477,2.880000,POM_5V_IN,"{'volt': 5072, 'curr': 568, 'power': 2880, 'warn': 32760, 'crit': 32760, 'online': True, 'avg': 2891, 'name': 'POM_5V_IN'}"
22.478,2.880000,POM_5V_IN,"{'volt': 5072, 'curr': 568, 'power': 2880, 'warn': 32760, 'crit': 32760, 'online': True, 'avg': 2885, 'name': 'POM_5V_IN'}"
23.479,2.763000,POM_5V_IN,"{'volt': 5080, 'curr': 544, 'power': 2763, 'warn': 32760, 'crit': 32760, 'online': True, 'avg': 2824, 'name': 'POM_5V_IN'}"
24.480,2.568000,POM_5V_IN,"{'volt': 5096, 'curr': 504, 'power': 2568, 'warn': 32760, 'crit': 32760, 'online': True, 'avg': 2696, 'name': 'POM_5V_IN'}"
25.482,2.686000,POM_5V_IN,"{'volt': 5088, 'curr': 536, 'power': 2686, 'warn': 32760, 'crit': 32760, 'online': True, 'avg': 2691, 'name': 'POM_5V_IN'}"
26.483,2.605000,POM_5V_IN,"{'volt': 5096, 'curr': 512, 'power': 2605, 'warn': 32760, 'crit': 32760, 'online': True, 'avg': 2648, 'name': 'POM_5V_IN'}"
27.484,2.645000,POM_5V_IN,"{'volt': 5088, 'curr': 520, 'power': 2645, 'warn': 32760, 'crit': 32760, 'online': True, 'avg': 2646, 'name': 'POM_5V_IN'}"
28.485,2.605000,POM_5V_IN,"{'volt': 5088, 'curr': 512, 'power': 2605, 'warn': 32760, 'crit': 32760, 'online': True, 'avg': 2625, 'name': 'POM_5V_IN'}"
29.486,2.645000,POM_5V_IN,"{'volt': 5088, 'curr': 520, 'power': 2645, 'warn': 32760, 'crit': 32760, 'online': True, 'avg': 2635, 'name': 'POM_5V_IN'}"
30.488,2.686000,POM_5V_IN,"{'volt': 5088, 'curr': 528, 'power': 2686, 'warn': 32760, 'crit': 32760, 'online': True, 'avg': 2660, 'name': 'POM_5V_IN'}"
31.489,2.686000,POM_5V_IN,"{'volt': 5088, 'curr': 528, 'power': 2686, 'warn': 32760, 'crit': 32760, 'online': True, 'avg': 2673, 'name': 'POM_5V_IN'}"
32.490,2.686000,POM_5V_IN,"{'volt': 5088, 'curr': 528, 'power': 2686, 'warn': 32760, 'crit': 32760, 'online': True, 'avg': 2679, 'name': 'POM_5V_IN'}"
33.492,2.609000,POM_5V_IN,"{'volt': 5096, 'curr': 512, 'power': 2609, 'warn': 32760, 'crit': 32760, 'online': True, 'avg': 2644, 'name': 'POM_5V_IN'}"
34.492,2.645000,POM_5V_IN,"{'volt': 5088, 'curr': 520, 'power': 2645, 'warn': 32760, 'crit': 32760, 'online': True, 'avg': 2644, 'name': 'POM_5V_IN'}"
35.494,2.605000,POM_5V_IN,"{'volt': 5088, 'curr': 512, 'power': 2605, 'warn': 32760, 'crit': 32760, 'online': True, 'avg': 2624, 'name': 'POM_5V_IN'}"
36.495,2.568000,POM_5V_IN,"{'volt': 5096, 'curr': 504, 'power': 2568, 'warn': 32760, 'crit': 32760, 'online': True, 'avg': 2596, 'name': 'POM_5V_IN'}"
37.497,2.727000,POM_5V_IN,"{'volt': 5088, 'curr': 536, 'power': 2727, 'warn': 32760, 'crit': 32760, 'online': True, 'avg': 2661, 'name': 'POM_5V_IN'}"
38.498,2.727000,POM_5V_IN,"{'volt': 5088, 'curr': 536, 'power': 2727, 'warn': 32760, 'crit': 32760, 'online': True, 'avg': 2694, 'name': 'POM_5V_IN'}"
39.500,2.686000,POM_5V_IN,"{'volt': 5088, 'curr': 528, 'power': 2686, 'warn': 32760, 'crit': 32760, 'online': True, 'avg': 2690, 'name': 'POM_5V_IN'}"
40.502,2.645000,POM_5V_IN,"{'volt': 5088, 'curr': 512, 'power': 2645, 'warn': 32760, 'crit': 32760, 'online': True, 'avg': 2667, 'name': 'POM_5V_IN'}"
41.503,2.605000,POM_5V_IN,"{'volt': 5088, 'curr': 512, 'power': 2605, 'warn': 32760, 'crit': 32760, 'online': True, 'avg': 2636, 'name': 'POM_5V_IN'}"
42.507,2.609000,POM_5V_IN,"{'volt': 5096, 'curr': 512, 'power': 2609, 'warn': 32760, 'crit': 32760, 'online': True, 'avg': 2622, 'name': 'POM_5V_IN'}"
43.509,2.605000,POM_5V_IN,"{'volt': 5088, 'curr': 512, 'power': 2605, 'warn': 32760, 'crit': 32760, 'online': True, 'avg': 2613, 'name': 'POM_5V_IN'}"
44.510,2.605000,POM_5V_IN,"{'volt': 5096, 'curr': 512, 'power': 2605, 'warn': 32760, 'crit': 32760, 'online': True, 'avg': 2609, 'name': 'POM_5V_IN'}"
45.512,2.609000,POM_5V_IN,"{'volt': 5096, 'curr': 512, 'power': 2609, 'warn': 32760, 'crit': 32760, 'online': True, 'avg': 2609, 'name': 'POM_5V_IN'}"
46.513,2.605000,POM_5V_IN,"{'volt': 5096, 'curr': 512, 'power': 2605, 'warn': 32760, 'crit': 32760, 'online': True, 'avg': 2607, 'name': 'POM_5V_IN'}"
47.515,2.727000,POM_5V_IN,"{'volt': 5088, 'curr': 536, 'power': 2727, 'warn': 32760, 'crit': 32760, 'online': True, 'avg': 2667, 'name': 'POM_5V_IN'}"
48.517,2.645000,POM_5V_IN,"{'volt': 5088, 'curr': 520, 'power': 2645, 'warn': 32760, 'crit': 32760, 'online': True, 'avg': 2656, 'name': 'POM_5V_IN'}"
49.518,2.645000,POM_5V_IN,"{'volt': 5088, 'curr': 512, 'power': 2645, 'warn': 32760, 'crit': 32760, 'online': True, 'avg': 2650, 'name': 'POM_5V_IN'}"
50.519,2.605000,POM_5V_IN,"{'volt': 5096, 'curr': 512, 'power': 2605, 'warn': 32760, 'crit': 32760, 'online': True, 'avg': 2627, 'name': 'POM_5V_IN'}"
51.520,2.763000,POM_5V_IN,"{'volt': 5080, 'curr': 544, 'power': 2763, 'warn': 32760, 'crit': 32760, 'online': True, 'avg': 2695, 'name': 'POM_5V_IN'}"
52.520,2.609000,POM_5V_IN,"{'volt': 5096, 'curr': 512, 'power': 2609, 'warn': 32760, 'crit': 32760, 'online': True, 'avg': 2652, 'name': 'POM_5V_IN'}"
