t_s,watts,rail,raw_power
1.084,3.038000,POM_5V_IN,"{'volt': 5064, 'curr': 600, 'power': 3038, 'warn': 32760, 'crit': 32760, 'online': True, 'avg': 2828, 'name': 'POM_5V_IN'}"
2.085,2.645000,POM_5V_IN,"{'volt': 5088, 'curr': 520, 'power': 2645, 'warn': 32760, 'crit': 32760, 'online': True, 'avg': 2736, 'name': 'POM_5V_IN'}"
3.087,2.727000,POM_5V_IN,"{'volt': 5088, 'curr': 536, 'power': 2727, 'warn': 32760, 'crit': 32760, 'online': True, 'avg': 2731, 'name': 'POM_5V_IN'}"
4.088,2.609000,POM_5V_IN,"{'volt': 5096, 'curr': 512, 'power': 2609, 'warn': 32760, 'crit': 32760, 'online': True, 'avg': 2670, 'name': 'POM_5V_IN'}"
5.090,2.609000,POM_5V_IN,"{'volt': 5096, 'curr': 512, 'power': 2609, 'warn': 32760, 'crit': 32760, 'online': True, 'avg': 2639, 'name': 'POM_5V_IN'}"
6.091,2.609000,POM_5V_IN,"{'volt': 5096, 'curr': 512, 'power': 2609, 'warn': 32760, 'crit': 32760, 'online': True, 'avg': 2624, 'name': 'POM_5V_IN'}"
7.093,2.605000,POM_5V_IN,"{'volt': 5096, 'curr': 512, 'power': 2605, 'warn': 32760, 'crit': 32760, 'online': True, 'avg': 2614, 'name': 'POM_5V_IN'}"
8.094,2.609000,POM_5V_IN,"{'volt': 5096, 'curr': 512, 'power': 2609, 'warn': 32760, 'crit': 32760, 'online': True, 'avg': 2611, 'name': 'POM_5V_IN'}"
9.095,2.645000,POM_5V_IN,"{'volt': 5088, 'curr': 520, 'power': 2645, 'warn': 32760, 'crit': 32760, 'online': True, 'avg': 2628, 'name': 'POM_5V_IN'}"
10.097,2.609000,POM_5V_IN,"{'volt': 5096, 'curr': 512, 'power': 2609, 'warn': 32760, 'crit': 32760, 'online': True, 'avg': 2618, 'name': 'POM_5V_IN'}"
11.098,2.609000,POM_5V_IN,"{'volt': 5096, 'curr': 512, 'power': 2609, 'warn': 32760, 'crit': 32760, 'online': True, 'avg': 2613, 'name': 'POM_5V_IN'}"
12.099,2.844000,POM_5V_IN,"{'volt': 5080, 'curr': 560, 'power': 2844, 'warn': 32760, 'crit': 32760, 'online': True, 'avg': 2728, 'name': 'POM_5V_IN'}"
13.100,2.804000,POM_5V_IN,"{'volt': 5080, 'curr': 552, 'power': 2804, 'warn': 32760, 'crit': 32760, 'online': True, 'avg': 2766, 'name': 'POM_5V_IN'}"
14.105,2.885000,POM_5V_IN,"{'volt': 5080, 'curr': 568, 'power': 2885, 'warn': 32760, 'crit': 32760, 'online': True, 'avg': 2825, 'name': 'POM_5V_IN'}"
15.106,2.885000,POM_5V_IN,"{'volt': 5080, 'curr': 568, 'power': 2885, 'warn': 32760, 'crit': 32760, 'online': True, 'avg': 2855, 'name': 'POM_5V_IN'}"
16.107,2.880000,POM_5V_IN,"{'volt': 5072, 'curr': 568, 'power': 2880, 'warn': 32760, 'crit': 32760, 'online': True, 'avg': 2867, 'name': 'POM_5V_IN'}"
17.108,2.844000,POM_5V_IN,"{'volt': 5080, 'curr': 560, 'power': 2844, 'warn': 32760, 'crit': 32760, 'online': True, 'avg': 2855, 'name': 'POM_5V_IN'}"
18.109,2.885000,POM_5V_IN,"{'volt': 5080, 'curr': 560, 'power': 2885, 'warn': 32760, 'crit': 32760, 'online': True, 'avg': 2870, 'name': 'POM_5V_IN'}"
19.110,2.880000,POM_5V_IN,"{'volt': 5072, 'curr': 568, 'power': 2880, 'warn': 32760, 'crit': 32760, 'online': True, 'avg': 2875, 'name': 'POM_5V_IN'}"
20.112,2.885000,POM_5V_IN,"{'volt': 5080, 'curr': 568, 'power': 2885, 'warn': 32760, 'crit': 32760, 'online': True, 'avg': 2880, 'name': 'POM_5V_IN'}"
21.113,2.962000,POM_5V_IN,"{'volt': 5072, 'curr': 584, 'power': 2962, 'warn': 32760, 'crit': 32760, 'online': True, 'avg': 2921, 'name': 'POM_5V_IN'}"
22.114,3.002000,POM_5V_IN,"{'volt': 5072, 'curr': 592, 'power': 3002, 'warn': 32760, 'crit': 32760, 'online': True, 'avg': 2961, 'name': 'POM_5V_IN'}"
23.115,2.885000,POM_5V_IN,"{'volt': 5080, 'curr': 568, 'power': 2885, 'warn': 32760, 'crit': 32760, 'online': True, 'avg': 2923, 'name': 'POM_5V_IN'}"
24.116,2.804000,POM_5V_IN,"{'volt': 5080, 'curr': 552, 'power': 2804, 'warn': 32760, 'crit': 32760, 'online': True, 'avg': 2863, 'name': 'POM_5V_IN'}"
25.117,2.885000,POM_5V_IN,"{'volt': 5080, 'curr': 568, 'power': 2885, 'warn': 32760, 'crit': 32760, 'online': True, 'avg': 2874, 'name': 'POM_5V_IN'}"
26.118,2.767000,POM_5V_IN,"{'volt': 5088, 'curr': 536, 'power': 2767, 'warn': 32760, 'crit': 32760, 'online': True, 'avg': 2820, 'name': 'POM_5V_IN'}"
27.119,2.763000,POM_5V_IN,"{'volt': 5080, 'curr': 544, 'power': 2763, 'warn': 32760, 'crit': 32760, 'online': True, 'avg': 2791, 'name': 'POM_5V_IN'}"
28.120,2.605000,POM_5V_IN,"{'volt': 5088, 'curr': 512, 'power': 2605, 'warn': 32760, 'crit': 32760, 'online': True, 'avg': 2698, 'name': 'POM_5V_IN'}"
29.122,2.645000,POM_5V_IN,"{'volt': 5088, 'curr': 520, 'power': 2645, 'warn': 32760, 'crit': 32760, 'online': True, 'avg': 2671, 'name': 'POM_5V_IN'}"
30.123,2.609000,POM_5V_IN,"{'volt': 5096, 'curr': 512, 'power': 2609, 'warn': 32760, 'crit': 32760, 'online': True, 'avg': 2640, 'name': 'POM_5V_IN'}"
31.124,2.686000,POM_5V_IN,"{'volt': 5088, 'curr': 520, 'power': 2686, 'warn': 32760, 'crit': 32760, 'online': True, 'avg': 2663, 'name': 'POM_5V_IN'}"
32.126,2.645000,POM_5V_IN,"{'volt': 5088, 'curr': 520, 'power': 2645, 'warn': 32760, 'crit': 32760, 'online': True, 'avg': 2654, 'name': 'POM_5V_IN'}"
33.127,2.609000,POM_5V_IN,"{'volt': 5096, 'curr': 512, 'power': 2609, 'warn': 32760, 'crit': 32760, 'online': True, 'avg': 2631, 'name': 'POM_5V_IN'}"
34.128,2.609000,POM_5V_IN,"{'volt': 5096, 'curr': 512, 'power': 2609, 'warn': 32760, 'crit': 32760, 'online': True, 'avg': 2620, 'name': 'POM_5V_IN'}"
35.130,2.609000,POM_5V_IN,"{'volt': 5096, 'curr': 512, 'power': 2609, 'warn': 32760, 'crit': 32760, 'online': True, 'avg': 2614, 'name': 'POM_5V_IN'}"
36.131,2.609000,POM_5V_IN,"{'volt': 5096, 'curr': 512, 'power': 2609, 'warn': 32760, 'crit': 32760, 'online': True, 'avg': 2611, 'name': 'POM_5V_IN'}"
37.133,2.609000,POM_5V_IN,"{'volt': 5096, 'curr': 512, 'power': 2609, 'warn': 32760, 'crit': 32760, 'online': True, 'avg': 2610, 'name': 'POM_5V_IN'}"
