t_s,watts,rail,raw_power
1.450,2.645000,POM_5V_IN,"{'volt': 5088, 'curr': 520, 'power': 2645, 'warn': 32760, 'crit': 32760, 'online': True, 'avg': 2433, 'name': 'POM_5V_IN'}"
2.452,2.605000,POM_5V_IN,"{'volt': 5088, 'curr': 512, 'power': 2605, 'warn': 32760, 'crit': 32760, 'online': True, 'avg': 2519, 'name': 'POM_5V_IN'}"
3.453,2.564000,POM_5V_IN,"{'volt': 5088, 'curr': 504, 'power': 2564, 'warn': 32760, 'crit': 32760, 'online': True, 'avg': 2541, 'name': 'POM_5V_IN'}"
4.455,2.564000,POM_5V_IN,"{'volt': 5088, 'curr': 496, 'power': 2564, 'warn': 32760, 'crit': 32760, 'online': True, 'avg': 2552, 'name': 'POM_5V_IN'}"
5.457,2.564000,POM_5V_IN,"{'volt': 5088, 'curr': 504, 'power': 2564, 'warn': 32760, 'crit': 32760, 'online': True, 'avg': 2558, 'name': 'POM_5V_IN'}"
6.459,2.564000,POM_5V_IN,"{'volt': 5088, 'curr': 504, 'power': 2564, 'warn': 32760, 'crit': 32760, 'online': True, 'avg': 2561, 'name': 'POM_5V_IN'}"
7.460,2.564000,POM_5V_IN,"{'volt': 5088, 'curr': 504, 'power': 2564, 'warn': 32760, 'crit': 32760, 'online': True, 'avg': 2562, 'name': 'POM_5V_IN'}"
8.462,2.564000,POM_5V_IN,"{'volt': 5088, 'curr': 504, 'power': 2564, 'warn': 32760, 'crit': 32760, 'online': True, 'avg': 2563, 'name': 'POM_5V_IN'}"
9.463,2.605000,POM_5V_IN,"{'volt': 5088, 'curr': 512, 'power': 2605, 'warn': 32760, 'crit': 32760, 'online': True, 'avg': 2584, 'name': 'POM_5V_IN'}"
10.464,2.605000,POM_5V_IN,"{'volt': 5088, 'curr': 512, 'power': 2605, 'warn': 32760, 'crit': 32760, 'online': True, 'avg': 2594, 'name': 'POM_5V_IN'}"
11.465,2.564000,POM_5V_IN,"{'volt': 5088, 'curr': 504, 'power': 2564, 'warn': 32760, 'crit': 32760, 'online': True, 'avg': 2579, 'name': 'POM_5V_IN'}"
12.466,2.564000,POM_5V_IN,"{'volt': 5088, 'curr': 504, 'power': 2564, 'warn': 32760, 'crit': 32760, 'online': True, 'avg': 2571, 'name': 'POM_5V_IN'}"
13.467,2.799000,POM_5V_IN,"{'volt': 5072, 'curr': 552, 'power': 2799, 'warn': 32760, 'crit': 32760, 'online': True, 'avg': 2685, 'name': 'POM_5V_IN'}"
14.468,2.840000,POM_5V_IN,"{'volt': 5072, 'curr': 560, 'power': 2840, 'warn': 32760, 'crit': 32760, 'online': True, 'avg': 2762, 'name': 'POM_5V_IN'}"
15.469,2.840000,POM_5V_IN,"{'volt': 5072, 'curr': 560, 'power': 2840, 'warn': 32760, 'crit': 32760, 'online': True, 'avg': 2801, 'name': 'POM_5V_IN'}"
16.470,2.916000,POM_5V_IN,"{'volt': 5064, 'curr': 576, 'power': 2916, 'warn': 32760, 'crit': 32760, 'online': True, 'avg': 2858, 'name': 'POM_5V_IN'}"
17.471,2.876000,POM_5V_IN,"{'volt': 5064, 'curr': 568, 'power': 2876, 'warn': 32760, 'crit': 32760, 'online': True, 'avg': 2867, 'name': 'POM_5V_IN'}"
18.472,2.840000,POM_5V_IN,"{'volt': 5072, 'curr': 560, 'power': 2840, 'warn': 32760, 'crit': 32760, 'online': True, 'avg': 2853, 'name': 'POM_5V_IN'}"
19.473,2.840000,POM_5V_IN,"{'volt': 5072, 'curr': 560, 'power': 2840, 'warn': 32760, 'crit': 32760, 'online': True, 'avg': 2846, 'name': 'POM_5V_IN'}"
20.475,2.916000,POM_5V_IN,"{'volt': 5064, 'curr': 576, 'power': 2916, 'warn': 32760, 'crit': 32760, 'online': True, 'avg': 2881, 'name': 'POM_5V_IN'}"
21.476,2.840000,POM_5V_IN,"{'volt': 5072, 'curr': 560, 'power': 2840, 'warn': 32760, 'crit': 32760, 'online': True, 'avg': 2860, 'name': 'POM_5V_IN'}"
22.477,2.840000,POM_5V_IN,"{'volt': 5072, 'curr': 560, 'power': 2840, 'warn': 32760, 'crit': 32760, 'online': True, 'avg': 2850, 'name': 'POM_5V_IN'}"
23.478,2.880000,POM_5V_IN,"{'volt': 5072, 'curr': 568, 'power': 2880, 'warn': 32760, 'crit': 32760, 'online': True, 'avg': 2865, 'name': 'POM_5V_IN'}"
24.479,2.880000,POM_5V_IN,"{'volt': 5072, 'curr': 568, 'power': 2880, 'warn': 32760, 'crit': 32760, 'online': True, 'avg': 2872, 'name': 'POM_5V_IN'}"
25.480,2.840000,POM_5V_IN,"{'volt': 5072, 'curr': 560, 'power': 2840, 'warn': 32760, 'crit': 32760, 'online': True, 'avg': 2856, 'name': 'POM_5V_IN'}"
26.481,2.840000,POM_5V_IN,"{'volt': 5072, 'curr': 560, 'power': 2840, 'warn': 32760, 'crit': 32760, 'online': True, 'avg': 2848, 'name': 'POM_5V_IN'}"
27.481,2.564000,POM_5V_IN,"{'volt': 5088, 'curr': 504, 'power': 2564, 'warn': 32760, 'crit': 32760, 'online': True, 'avg': 2706, 'name': 'POM_5V_IN'}"
28.483,2.605000,POM_5V_IN,"{'volt': 5088, 'curr': 512, 'power': 2605, 'warn': 32760, 'crit': 32760, 'online': True, 'avg': 2655, 'name': 'POM_5V_IN'}"
29.484,2.763000,POM_5V_IN,"{'volt': 5080, 'curr': 544, 'power': 2763, 'warn': 32760, 'crit': 32760, 'online': True, 'avg': 2709, 'name': 'POM_5V_IN'}"
30.485,2.641000,POM_5V_IN,"{'volt': 5080, 'curr': 520, 'power': 2641, 'warn': 32760, 'crit': 32760, 'online': True, 'avg': 2675, 'name': 'POM_5V_IN'}"
31.485,2.722000,POM_5V_IN,"{'volt': 5080, 'curr': 536, 'power': 2722, 'warn': 32760, 'crit': 32760, 'online': True, 'avg': 2698, 'name': 'POM_5V_IN'}"
32.486,2.722000,POM_5V_IN,"{'volt': 5080, 'curr': 536, 'power': 2722, 'warn': 32760, 'crit': 32760, 'online': True, 'avg': 2710, 'name': 'POM_5V_IN'}"
33.487,2.564000,POM_5V_IN,"{'volt': 5088, 'curr': 504, 'power': 2564, 'warn': 32760, 'crit': 32760, 'online': True, 'avg': 2637, 'name': 'POM_5V_IN'}"
34.489,2.682000,POM_5V_IN,"{'volt': 5080, 'curr': 528, 'power': 2682, 'warn': 32760, 'crit': 32760, 'online': True, 'avg': 2659, 'name': 'POM_5V_IN'}"
35.491,2.763000,POM_5V_IN,"{'volt': 5080, 'curr': 544, 'power': 2763, 'warn': 32760, 'crit': 32760, 'online': True, 'avg': 2711, 'name': 'POM_5V_IN'}"
36.492,2.682000,POM_5V_IN,"{'volt': 5080, 'curr': 528, 'power': 2682, 'warn': 32760, 'crit': 32760, 'online': True, 'avg': 2696, 'name': 'POM_5V_IN'}"
37.494,2.645000,POM_5V_IN,"{'volt': 5088, 'curr': 520, 'power': 2645, 'warn': 32760, 'crit': 32760, 'online': True, 'avg': 2670, 'name': 'POM_5V_IN'}"
38.496,2.605000,POM_5V_IN,"{'volt': 5088, 'curr': 512, 'power': 2605, 'warn': 32760, 'crit': 32760, 'online': True, 'avg': 2637, 'name': 'POM_5V_IN'}"
39.498,2.605000,POM_5V_IN,"{'volt': 5088, 'curr': 512, 'power': 2605, 'warn': 32760, 'crit': 32760, 'online': True, 'avg': 2621, 'name': 'POM_5V_IN'}"
40.499,2.564000,POM_5V_IN,"{'volt': 5088, 'curr': 504, 'power': 2564, 'warn': 32760, 'crit': 32760, 'online': True, 'avg': 2592, 'name': 'POM_5V_IN'}"
41.500,2.605000,POM_5V_IN,"{'volt': 5088, 'curr': 512, 'power': 2605, 'warn': 32760, 'crit': 32760, 'online': True, 'avg': 2598, 'name': 'POM_5V_IN'}"
42.502,2.605000,POM_5V_IN,"{'volt': 5088, 'curr': 512, 'power': 2605, 'warn': 32760, 'crit': 32760, 'online': True, 'avg': 2601, 'name': 'POM_5V_IN'}"
43.503,2.605000,POM_5V_IN,"{'volt': 5088, 'curr': 512, 'power': 2605, 'warn': 32760, 'crit': 32760, 'online': True, 'avg': 2603, 'name': 'POM_5V_IN'}"
44.506,2.564000,POM_5V_IN,"{'volt': 5088, 'curr': 504, 'power': 2564, 'warn': 32760, 'crit': 32760, 'online': True, 'avg': 2583, 'name': 'POM_5V_IN'}"
45.507,2.605000,POM_5V_IN,"{'volt': 5088, 'curr': 504, 'power': 2605, 'warn': 32760, 'crit': 32760, 'online': True, 'avg': 2594, 'name': 'POM_5V_IN'}"
46.508,2.564000,POM_5V_IN,"{'volt': 5088, 'curr': 504, 'power': 2564, 'warn': 32760, 'crit': 32760, 'online': True, 'avg': 2579, 'name': 'POM_5V_IN'}"
47.509,2.605000,POM_5V_IN,"{'volt': 5088, 'curr': 512, 'power': 2605, 'warn': 32760, 'crit': 32760, 'online': True, 'avg': 2592, 'name': 'POM_5V_IN'}"
48.511,2.564000,POM_5V_IN,"{'volt': 5088, 'curr': 504, 'power': 2564, 'warn': 32760, 'crit': 32760, 'online': True, 'avg': 2578, 'name': 'POM_5V_IN'}"
49.512,2.564000,POM_5V_IN,"{'volt': 5088, 'curr': 504, 'power': 2564, 'warn': 32760, 'crit': 32760, 'online': True, 'avg': 2571, 'name': 'POM_5V_IN'}"
50.514,2.682000,POM_5V_IN,"{'volt': 5080, 'curr': 528, 'power': 2682, 'warn': 32760, 'crit': 32760, 'online': True, 'avg': 2626, 'name': 'POM_5V_IN'}"
51.515,2.605000,POM_5V_IN,"{'volt': 5088, 'curr': 504, 'power': 2605, 'warn': 32760, 'crit': 32760, 'online': True, 'avg': 2615, 'name': 'POM_5V_IN'}"
52.516,2.564000,POM_5V_IN,"{'volt': 5088, 'curr': 504, 'power': 2564, 'warn': 32760, 'crit': 32760, 'online': True, 'avg': 2589, 'name': 'POM_5V_IN'}"
53.518,2.564000,POM_5V_IN,"{'volt': 5088, 'curr': 504, 'power': 2564, 'warn': 32760, 'crit': 32760, 'online': True, 'avg': 2576, 'name': 'POM_5V_IN'}"
54.519,2.645000,POM_5V_IN,"{'volt': 5088, 'curr': 512, 'power': 2645, 'warn': 32760, 'crit': 32760, 'online': True, 'avg': 2610, 'name': 'POM_5V_IN'}"
55.520,2.605000,POM_5V_IN,"{'volt': 5088, 'curr': 512, 'power': 2605, 'warn': 32760, 'crit': 32760, 'online': True, 'avg': 2607, 'name': 'POM_5V_IN'}"
56.522,2.605000,POM_5V_IN,"{'volt': 5088, 'curr': 512, 'power': 2605, 'warn': 32760, 'crit': 32760, 'online': True, 'avg': 2606, 'name': 'POM_5V_IN'}"
57.523,2.564000,POM_5V_IN,"{'volt': 5088, 'curr': 504, 'power': 2564, 'warn': 32760, 'crit': 32760, 'online': True, 'avg': 2585, 'name': 'POM_5V_IN'}"
58.525,2.645000,POM_5V_IN,"{'volt': 5088, 'curr': 520, 'power': 2645, 'warn': 32760, 'crit': 32760, 'online': True, 'avg': 2615, 'name': 'POM_5V_IN'}"
59.526,2.605000,POM_5V_IN,"{'volt': 5088, 'curr': 512, 'power': 2605, 'warn': 32760, 'crit': 32760, 'online': True, 'avg': 2610, 'name': 'POM_5V_IN'}"
60.527,2.564000,POM_5V_IN,"{'volt': 5088, 'curr': 504, 'power': 2564, 'warn': 32760, 'crit': 32760, 'online': True, 'avg': 2587, 'name': 'POM_5V_IN'}"
61.528,2.641000,POM_5V_IN,"{'volt': 5088, 'curr': 520, 'power': 2641, 'warn': 32760, 'crit': 32760, 'online': True, 'avg': 2614, 'name': 'POM_5V_IN'}"
62.530,2.564000,POM_5V_IN,"{'volt': 5088, 'curr': 496, 'power': 2564, 'warn': 32760, 'crit': 32760, 'online': True, 'avg': 2589, 'name': 'POM_5V_IN'}"
63.531,2.605000,POM_5V_IN,"{'volt': 5088, 'curr': 512, 'power': 2605, 'warn': 32760, 'crit': 32760, 'online': True, 'avg': 2597, 'name': 'POM_5V_IN'}"
64.532,2.605000,POM_5V_IN,"{'volt': 5088, 'curr': 512, 'power': 2605, 'warn': 32760, 'crit': 32760, 'online': True, 'avg': 2601, 'name': 'POM_5V_IN'}"
65.534,2.564000,POM_5V_IN,"{'volt': 5088, 'curr': 504, 'power': 2564, 'warn': 32760, 'crit': 32760, 'online': True, 'avg': 2582, 'name': 'POM_5V_IN'}"
66.535,2.605000,POM_5V_IN,"{'volt': 5088, 'curr': 512, 'power': 2605, 'warn': 32760, 'crit': 32760, 'online': True, 'avg': 2593, 'name': 'POM_5V_IN'}"
67.537,2.564000,POM_5V_IN,"{'volt': 5088, 'curr': 504, 'power': 2564, 'warn': 32760, 'crit': 32760, 'online': True, 'avg': 2578, 'name': 'POM_5V_IN'}"
68.538,2.605000,POM_5V_IN,"{'volt': 5088, 'curr': 504, 'power': 2605, 'warn': 32760, 'crit': 32760, 'online': True, 'avg': 2591, 'name': 'POM_5V_IN'}"
69.539,2.605000,POM_5V_IN,"{'volt': 5088, 'curr': 504, 'power': 2605, 'warn': 32760, 'crit': 32760, 'online': True, 'avg': 2598, 'name': 'POM_5V_IN'}"
70.541,2.645000,POM_5V_IN,"{'volt': 5088, 'curr': 512, 'power': 2645, 'warn': 32760, 'crit': 32760, 'online': True, 'avg': 2621, 'name': 'POM_5V_IN'}"
71.542,2.682000,POM_5V_IN,"{'volt': 5080, 'curr': 528, 'power': 2682, 'warn': 32760, 'crit': 32760, 'online': True, 'avg': 2651, 'name': 'POM_5V_IN'}"
72.543,2.605000,POM_5V_IN,"{'volt': 5088, 'curr': 512, 'power': 2605, 'warn': 32760, 'crit': 32760, 'online': True, 'avg': 2628, 'name': 'POM_5V_IN'}"
73.544,2.722000,POM_5V_IN,"{'volt': 5080, 'curr': 536, 'power': 2722, 'warn': 32760, 'crit': 32760, 'online': True, 'avg': 2675, 'name': 'POM_5V_IN'}"
74.545,2.605000,POM_5V_IN,"{'volt': 5088, 'curr': 512, 'power': 2605, 'warn': 32760, 'crit': 32760, 'online': True, 'avg': 2640, 'name': 'POM_5V_IN'}"
75.547,2.564000,POM_5V_IN,"{'volt': 5088, 'curr': 504, 'power': 2564, 'warn': 32760, 'crit': 32760, 'online': True, 'avg': 2602, 'name': 'POM_5V_IN'}"
76.548,2.605000,POM_5V_IN,"{'volt': 5088, 'curr': 512, 'power': 2605, 'warn': 32760, 'crit': 32760, 'online': True, 'avg': 2603, 'name': 'POM_5V_IN'}"
