t_s,watts,rail,raw_power
1.484,8.134000,VDD_IN,"{'volt': 4960, 'curr': 1640, 'warn': 3024, 'crit': 4032, 'power': 8134, 'online': True, 'avg': 7618, 'name': 'VDD_IN'}"
2.486,8.055000,VDD_IN,"{'volt': 4960, 'curr': 1624, 'warn': 3024, 'crit': 4032, 'power': 8055, 'online': True, 'avg': 7836, 'name': 'VDD_IN'}"
3.487,8.055000,VDD_IN,"{'volt': 4960, 'curr': 1624, 'warn': 3024, 'crit': 4032, 'power': 8055, 'online': True, 'avg': 7945, 'name': 'VDD_IN'}"
4.488,8.094000,VDD_IN,"{'volt': 4960, 'curr': 1632, 'warn': 3024, 'crit': 4032, 'power': 8094, 'online': True, 'avg': 8019, 'name': 'VDD_IN'}"
5.489,8.094000,VDD_IN,"{'volt': 4960, 'curr': 1632, 'warn': 3024, 'crit': 4032, 'power': 8094, 'online': True, 'avg': 8056, 'name': 'VDD_IN'}"
6.490,7.975000,VDD_IN,"{'volt': 4960, 'curr': 1608, 'warn': 3024, 'crit': 4032, 'power': 7975, 'online': True, 'avg': 8015, 'name': 'VDD_IN'}"
7.491,7.936000,VDD_IN,"{'volt': 4960, 'curr': 1600, 'warn': 3024, 'crit': 4032, 'power': 7936, 'online': True, 'avg': 7975, 'name': 'VDD_IN'}"
8.492,7.975000,VDD_IN,"{'volt': 4960, 'curr': 1608, 'warn': 3024, 'crit': 4032, 'power': 7975, 'online': True, 'avg': 7975, 'name': 'VDD_IN'}"
9.493,8.808000,VDD_IN,"{'volt': 4960, 'curr': 1776, 'warn': 3024, 'crit': 4032, 'power': 8808, 'online': True, 'avg': 8391, 'name': 'VDD_IN'}"
10.494,9.388000,VDD_IN,"{'volt': 4952, 'curr': 1896, 'warn': 3024, 'crit': 4032, 'power': 9388, 'online': True, 'avg': 8889, 'name': 'VDD_IN'}"
11.495,9.428000,VDD_IN,"{'volt': 4952, 'curr': 1904, 'warn': 3024, 'crit': 4032, 'power': 9428, 'online': True, 'avg': 9158, 'name': 'VDD_IN'}"
12.496,9.428000,VDD_IN,"{'volt': 4952, 'curr': 1904, 'warn': 3024, 'crit': 4032, 'power': 9428, 'online': True, 'avg': 9293, 'name': 'VDD_IN'}"
13.497,9.428000,VDD_IN,"{'volt': 4952, 'curr': 1904, 'warn': 3024, 'crit': 4032, 'power': 9428, 'online': True, 'avg': 9360, 'name': 'VDD_IN'}"
14.498,9.428000,VDD_IN,"{'volt': 4952, 'curr': 1904, 'warn': 3024, 'crit': 4032, 'power': 9428, 'online': True, 'avg': 9394, 'name': 'VDD_IN'}"
15.500,8.610000,VDD_IN,"{'volt': 4960, 'curr': 1736, 'warn': 3024, 'crit': 4032, 'power': 8610, 'online': True, 'avg': 9002, 'name': 'VDD_IN'}"
16.501,8.094000,VDD_IN,"{'volt': 4960, 'curr': 1632, 'warn': 3024, 'crit': 4032, 'power': 8094, 'online': True, 'avg': 8548, 'name': 'VDD_IN'}"
