t_s,watts,rail,raw_power
0.588,7.063000,VDD_IN,"{'volt': 4960, 'curr': 1424, 'warn': 3032, 'crit': 4040, 'power': 7063, 'online': True, 'avg': 7063, 'name': 'VDD_IN'}"
1.589,6.983000,VDD_IN,"{'volt': 4960, 'curr': 1408, 'warn': 3032, 'crit': 4040, 'power': 6983, 'online': True, 'avg': 7023, 'name': 'VDD_IN'}"
2.590,6.824000,VDD_IN,"{'volt': 4960, 'curr': 1376, 'warn': 3032, 'crit': 4040, 'power': 6824, 'online': True, 'avg': 6923, 'name': 'VDD_IN'}"
3.591,6.983000,VDD_IN,"{'volt': 4960, 'curr': 1408, 'warn': 3032, 'crit': 4040, 'power': 6983, 'online': True, 'avg': 6953, 'name': 'VDD_IN'}"
4.592,6.944000,VDD_IN,"{'volt': 4960, 'curr': 1400, 'warn': 3032, 'crit': 4040, 'power': 6944, 'online': True, 'avg': 6948, 'name': 'VDD_IN'}"
5.593,6.824000,VDD_IN,"{'volt': 4960, 'curr': 1376, 'warn': 3032, 'crit': 4040, 'power': 6824, 'online': True, 'avg': 6886, 'name': 'VDD_IN'}"
6.594,6.824000,VDD_IN,"{'volt': 4960, 'curr': 1376, 'warn': 3032, 'crit': 4040, 'power': 6824, 'online': True, 'avg': 6855, 'name': 'VDD_IN'}"
7.595,6.824000,VDD_IN,"{'volt': 4960, 'curr': 1376, 'warn': 3032, 'crit': 4040, 'power': 6824, 'online': True, 'avg': 6839, 'name': 'VDD_IN'}"
8.596,6.824000,VDD_IN,"{'volt': 4960, 'curr': 1376, 'warn': 3032, 'crit': 4040, 'power': 6824, 'online': True, 'avg': 6831, 'name': 'VDD_IN'}"
9.597,6.824000,VDD_IN,"{'volt': 4960, 'curr': 1376, 'warn': 3032, 'crit': 4040, 'power': 6824, 'online': True, 'avg': 6827, 'name': 'VDD_IN'}"
10.598,6.824000,VDD_IN,"{'volt': 4960, 'curr': 1376, 'warn': 3032, 'crit': 4040, 'power': 6824, 'online': True, 'avg': 6825, 'name': 'VDD_IN'}"
11.599,6.824000,VDD_IN,"{'volt': 4960, 'curr': 1376, 'warn': 3032, 'crit': 4040, 'power': 6824, 'online': True, 'avg': 6824, 'name': 'VDD_IN'}"
12.600,6.864000,VDD_IN,"{'volt': 4960, 'curr': 1384, 'warn': 3032, 'crit': 4040, 'power': 6864, 'online': True, 'avg': 6844, 'name': 'VDD_IN'}"
13.601,6.824000,VDD_IN,"{'volt': 4960, 'curr': 1376, 'warn': 3032, 'crit': 4040, 'power': 6824, 'online': True, 'avg': 6834, 'name': 'VDD_IN'}"
14.602,6.824000,VDD_IN,"{'volt': 4960, 'curr': 1376, 'warn': 3032, 'crit': 4040, 'power': 6824, 'online': True, 'avg': 6829, 'name': 'VDD_IN'}"
15.604,6.824000,VDD_IN,"{'volt': 4960, 'curr': 1376, 'warn': 3032, 'crit': 4040, 'power': 6824, 'online': True, 'avg': 6826, 'name': 'VDD_IN'}"
