t_s,watts,rail,raw_power
1.494,7.380000,VDD_IN,"{'volt': 4960, 'curr': 1488, 'warn': 3032, 'crit': 4040, 'power': 7380, 'online': True, 'avg': 7124, 'name': 'VDD_IN'}"
2.495,7.618000,VDD_IN,"{'volt': 4960, 'curr': 1536, 'warn': 3032, 'crit': 4040, 'power': 7618, 'online': True, 'avg': 7371, 'name': 'VDD_IN'}"
3.496,7.420000,VDD_IN,"{'volt': 4960, 'curr': 1496, 'warn': 3032, 'crit': 4040, 'power': 7420, 'online': True, 'avg': 7395, 'name': 'VDD_IN'}"
4.497,7.380000,VDD_IN,"{'volt': 4960, 'curr': 1488, 'warn': 3032, 'crit': 4040, 'power': 7380, 'online': True, 'avg': 7387, 'name': 'VDD_IN'}"
5.498,7.340000,VDD_IN,"{'volt': 4960, 'curr': 1480, 'warn': 3032, 'crit': 4040, 'power': 7340, 'online': True, 'avg': 7363, 'name': 'VDD_IN'}"
6.499,7.459000,VDD_IN,"{'volt': 4960, 'curr': 1504, 'warn': 3032, 'crit': 4040, 'power': 7459, 'online': True, 'avg': 7411, 'name': 'VDD_IN'}"
7.500,7.459000,VDD_IN,"{'volt': 4960, 'curr': 1504, 'warn': 3032, 'crit': 4040, 'power': 7459, 'online': True, 'avg': 7435, 'name': 'VDD_IN'}"
8.501,7.420000,VDD_IN,"{'volt': 4960, 'curr': 1496, 'warn': 3032, 'crit': 4040, 'power': 7420, 'online': True, 'avg': 7427, 'name': 'VDD_IN'}"
9.502,7.618000,VDD_IN,"{'volt': 4960, 'curr': 1536, 'warn': 3032, 'crit': 4040, 'power': 7618, 'online': True, 'avg': 7522, 'name': 'VDD_IN'}"
10.503,7.420000,VDD_IN,"{'volt': 4960, 'curr': 1496, 'warn': 3032, 'crit': 4040, 'power': 7420, 'online': True, 'avg': 7471, 'name': 'VDD_IN'}"
11.504,7.459000,VDD_IN,"{'volt': 4960, 'curr': 1504, 'warn': 3032, 'crit': 4040, 'power': 7459, 'online': True, 'avg': 7465, 'name': 'VDD_IN'}"
12.505,7.380000,VDD_IN,"{'volt': 4960, 'curr': 1488, 'warn': 3032, 'crit': 4040, 'power': 7380, 'online': True, 'avg': 7422, 'name': 'VDD_IN'}"
13.506,8.794000,VDD_IN,"{'volt': 4952, 'curr': 1776, 'warn': 3032, 'crit': 4040, 'power': 8794, 'online': True, 'avg': 8108, 'name': 'VDD_IN'}"
14.507,9.032000,VDD_IN,"{'volt': 4952, 'curr': 1824, 'warn': 3032, 'crit': 4040, 'power': 9032, 'online': True, 'avg': 8570, 'name': 'VDD_IN'}"
15.508,9.072000,VDD_IN,"{'volt': 4952, 'curr': 1832, 'warn': 3032, 'crit': 4040, 'power': 9072, 'online': True, 'avg': 8821, 'name': 'VDD_IN'}"
16.509,9.072000,VDD_IN,"{'volt': 4952, 'curr': 1832, 'warn': 3032, 'crit': 4040, 'power': 9072, 'online': True, 'avg': 8946, 'name': 'VDD_IN'}"
17.510,9.111000,VDD_IN,"{'volt': 4952, 'curr': 1840, 'warn': 3032, 'crit': 4040, 'power': 9111, 'online': True, 'avg': 9028, 'name': 'VDD_IN'}"
18.511,9.072000,VDD_IN,"{'volt': 4952, 'curr': 1832, 'warn': 3032, 'crit': 4040, 'power': 9072, 'online': True, 'avg': 9050, 'name': 'VDD_IN'}"
19.512,8.081000,VDD_IN,"{'volt': 4952, 'curr': 1632, 'warn': 3032, 'crit': 4040, 'power': 8081, 'online': True, 'avg': 8565, 'name': 'VDD_IN'}"
20.513,7.578000,VDD_IN,"{'volt': 4960, 'curr': 1528, 'warn': 3032, 'crit': 4040, 'power': 7578, 'online': True, 'avg': 8071, 'name': 'VDD_IN'}"
21.514,7.618000,VDD_IN,"{'volt': 4960, 'curr': 1536, 'warn': 3032, 'crit': 4040, 'power': 7618, 'online': True, 'avg': 7844, 'name': 'VDD_IN'}"
