t_s,watts,rail,raw_power
1.495,7.380000,VDD_IN,"{'volt': 4960, 'curr': 1488, 'warn': 3032, 'crit': 4040, 'power': 7380, 'online': True, 'avg': 7123, 'name': 'VDD_IN'}"
2.496,7.578000,VDD_IN,"{'volt': 4960, 'curr': 1528, 'warn': 3032, 'crit': 4040, 'power': 7578, 'online': True, 'avg': 7350, 'name': 'VDD_IN'}"
3.497,7.420000,VDD_IN,"{'volt': 4960, 'curr': 1496, 'warn': 3032, 'crit': 4040, 'power': 7420, 'online': True, 'avg': 7385, 'name': 'VDD_IN'}"
4.498,7.380000,VDD_IN,"{'volt': 4960, 'curr': 1488, 'warn': 3032, 'crit': 4040, 'power': 7380, 'online': True, 'avg': 7382, 'name': 'VDD_IN'}"
5.499,7.380000,VDD_IN,"{'volt': 4960, 'curr': 1488, 'warn': 3032, 'crit': 4040, 'power': 7380, 'online': True, 'avg': 7381, 'name': 'VDD_IN'}"
6.500,7.459000,VDD_IN,"{'volt': 4960, 'curr': 1504, 'warn': 3032, 'crit': 4040, 'power': 7459, 'online': True, 'avg': 7420, 'name': 'VDD_IN'}"
7.501,7.459000,VDD_IN,"{'volt': 4960, 'curr': 1504, 'warn': 3032, 'crit': 4040, 'power': 7459, 'online': True, 'avg': 7439, 'name': 'VDD_IN'}"
8.502,7.380000,VDD_IN,"{'volt': 4960, 'curr': 1488, 'warn': 3032, 'crit': 4040, 'power': 7380, 'online': True, 'avg': 7409, 'name': 'VDD_IN'}"
9.503,7.618000,VDD_IN,"{'volt': 4960, 'curr': 1536, 'warn': 3032, 'crit': 4040, 'power': 7618, 'online': True, 'avg': 7513, 'name': 'VDD_IN'}"
10.504,7.420000,VDD_IN,"{'volt': 4960, 'curr': 1496, 'warn': 3032, 'crit': 4040, 'power': 7420, 'online': True, 'avg': 7466, 'name': 'VDD_IN'}"
11.505,7.499000,VDD_IN,"{'volt': 4960, 'curr': 1512, 'warn': 3032, 'crit': 4040, 'power': 7499, 'online': True, 'avg': 7482, 'name': 'VDD_IN'}"
12.506,8.266000,VDD_IN,"{'volt': 4968, 'curr': 1664, 'warn': 3032, 'crit': 4040, 'power': 8266, 'online': True, 'avg': 7874, 'name': 'VDD_IN'}"
13.507,8.544000,VDD_IN,"{'volt': 4968, 'curr': 1720, 'warn': 3032, 'crit': 4040, 'power': 8544, 'online': True, 'avg': 8209, 'name': 'VDD_IN'}"
14.508,8.544000,VDD_IN,"{'volt': 4968, 'curr': 1720, 'warn': 3032, 'crit': 4040, 'power': 8544, 'online': True, 'avg': 8376, 'name': 'VDD_IN'}"
15.509,8.544000,VDD_IN,"{'volt': 4968, 'curr': 1720, 'warn': 3032, 'crit': 4040, 'power': 8544, 'online': True, 'avg': 8460, 'name': 'VDD_IN'}"
16.510,8.544000,VDD_IN,"{'volt': 4968, 'curr': 1720, 'warn': 3032, 'crit': 4040, 'power': 8544, 'online': True, 'avg': 8502, 'name': 'VDD_IN'}"
17.511,8.544000,VDD_IN,"{'volt': 4968, 'curr': 1720, 'warn': 3032, 'crit': 4040, 'power': 8544, 'online': True, 'avg': 8523, 'name': 'VDD_IN'}"
18.512,8.544000,VDD_IN,"{'volt': 4968, 'curr': 1720, 'warn': 3032, 'crit': 4040, 'power': 8544, 'online': True, 'avg': 8533, 'name': 'VDD_IN'}"
19.513,8.544000,VDD_IN,"{'volt': 4968, 'curr': 1720, 'warn': 3032, 'crit': 4040, 'power': 8544, 'online': True, 'avg': 8538, 'name': 'VDD_IN'}"
20.514,8.544000,VDD_IN,"{'volt': 4968, 'curr': 1720, 'warn': 3032, 'crit': 4040, 'power': 8544, 'online': True, 'avg': 8541, 'name': 'VDD_IN'}"
21.515,8.544000,VDD_IN,"{'volt': 4968, 'curr': 1720, 'warn': 3032, 'crit': 4040, 'power': 8544, 'online': True, 'avg': 8542, 'name': 'VDD_IN'}"
22.516,8.544000,VDD_IN,"{'volt': 4968, 'curr': 1720, 'warn': 3032, 'crit': 4040, 'power': 8544, 'online': True, 'avg': 8543, 'name': 'VDD_IN'}"
23.517,8.544000,VDD_IN,"{'volt': 4968, 'curr': 1720, 'warn': 3032, 'crit': 4040, 'power': 8544, 'online': True, 'avg': 8543, 'name': 'VDD_IN'}"
24.518,8.544000,VDD_IN,"{'volt': 4968, 'curr': 1720, 'warn': 3032, 'crit': 4040, 'power': 8544, 'online': True, 'avg': 8543, 'name': 'VDD_IN'}"
25.519,8.544000,VDD_IN,"{'volt': 4968, 'curr': 1720, 'warn': 3032, 'crit': 4040, 'power': 8544, 'online': True, 'avg': 8543, 'name': 'VDD_IN'}"
26.520,8.544000,VDD_IN,"{'volt': 4968, 'curr': 1720, 'warn': 3032, 'crit': 4040, 'power': 8544, 'online': True, 'avg': 8543, 'name': 'VDD_IN'}"
27.521,7.777000,VDD_IN,"{'volt': 4960, 'curr': 1568, 'warn': 3032, 'crit': 4040, 'power': 7777, 'online': True, 'avg': 8160, 'name': 'VDD_IN'}"
28.522,7.737000,VDD_IN,"{'volt': 4960, 'curr': 1560, 'warn': 3032, 'crit': 4040, 'power': 7737, 'online': True, 'avg': 7948, 'name': 'VDD_IN'}"
