t_s,watts,rail,raw_power
1.489,7.380000,VDD_IN,"{'volt': 4960, 'curr': 1488, 'warn': 3032, 'crit': 4040, 'power': 7380, 'online': True, 'avg': 7124, 'name': 'VDD_IN'}"
2.489,7.618000,VDD_IN,"{'volt': 4960, 'curr': 1536, 'warn': 3032, 'crit': 4040, 'power': 7618, 'online': True, 'avg': 7371, 'name': 'VDD_IN'}"
3.490,7.420000,VDD_IN,"{'volt': 4960, 'curr': 1496, 'warn': 3032, 'crit': 4040, 'power': 7420, 'online': True, 'avg': 7395, 'name': 'VDD_IN'}"
4.491,7.380000,VDD_IN,"{'volt': 4960, 'curr': 1488, 'warn': 3032, 'crit': 4040, 'power': 7380, 'online': True, 'avg': 7387, 'name': 'VDD_IN'}"
5.492,7.380000,VDD_IN,"{'volt': 4960, 'curr': 1488, 'warn': 3032, 'crit': 4040, 'power': 7380, 'online': True, 'avg': 7383, 'name': 'VDD_IN'}"
6.494,7.459000,VDD_IN,"{'volt': 4960, 'curr': 1504, 'warn': 3032, 'crit': 4040, 'power': 7459, 'online': True, 'avg': 7421, 'name': 'VDD_IN'}"
7.495,7.658000,VDD_IN,"{'volt': 4960, 'curr': 1544, 'warn': 3032, 'crit': 4040, 'power': 7658, 'online': True, 'avg': 7539, 'name': 'VDD_IN'}"
8.496,7.459000,VDD_IN,"{'volt': 4960, 'curr': 1504, 'warn': 3032, 'crit': 4040, 'power': 7459, 'online': True, 'avg': 7499, 'name': 'VDD_IN'}"
9.497,7.420000,VDD_IN,"{'volt': 4960, 'curr': 1496, 'warn': 3032, 'crit': 4040, 'power': 7420, 'online': True, 'avg': 7459, 'name': 'VDD_IN'}"
10.498,7.380000,VDD_IN,"{'volt': 4960, 'curr': 1488, 'warn': 3032, 'crit': 4040, 'power': 7380, 'online': True, 'avg': 7419, 'name': 'VDD_IN'}"
11.499,7.499000,VDD_IN,"{'volt': 4960, 'curr': 1512, 'warn': 3032, 'crit': 4040, 'power': 7499, 'online': True, 'avg': 7459, 'name': 'VDD_IN'}"
12.500,7.618000,VDD_IN,"{'volt': 4960, 'curr': 1536, 'warn': 3032, 'crit': 4040, 'power': 7618, 'online': True, 'avg': 7538, 'name': 'VDD_IN'}"
13.501,7.896000,VDD_IN,"{'volt': 4960, 'curr': 1592, 'warn': 3032, 'crit': 4040, 'power': 7896, 'online': True, 'avg': 7717, 'name': 'VDD_IN'}"
14.501,7.697000,VDD_IN,"{'volt': 4960, 'curr': 1552, 'warn': 3032, 'crit': 4040, 'power': 7697, 'online': True, 'avg': 7707, 'name': 'VDD_IN'}"
15.502,7.697000,VDD_IN,"{'volt': 4960, 'curr': 1552, 'warn': 3032, 'crit': 4040, 'power': 7697, 'online': True, 'avg': 7702, 'name': 'VDD_IN'}"
16.503,7.618000,VDD_IN,"{'volt': 4960, 'curr': 1536, 'warn': 3032, 'crit': 4040, 'power': 7618, 'online': True, 'avg': 7660, 'name': 'VDD_IN'}"
17.504,7.539000,VDD_IN,"{'volt': 4960, 'curr': 1520, 'warn': 3032, 'crit': 4040, 'power': 7539, 'online': True, 'avg': 7599, 'name': 'VDD_IN'}"
