t_s,watts,rail,raw_power
1.492,7.340000,VDD_IN,"{'volt': 4960, 'curr': 1480, 'warn': 3032, 'crit': 4040, 'power': 7340, 'online': True, 'avg': 7099, 'name': 'VDD_IN'}"
2.493,7.499000,VDD_IN,"{'volt': 4960, 'curr': 1512, 'warn': 3032, 'crit': 4040, 'power': 7499, 'online': True, 'avg': 7299, 'name': 'VDD_IN'}"
3.495,7.380000,VDD_IN,"{'volt': 4960, 'curr': 1488, 'warn': 3032, 'crit': 4040, 'power': 7380, 'online': True, 'avg': 7339, 'name': 'VDD_IN'}"
4.496,7.340000,VDD_IN,"{'volt': 4960, 'curr': 1480, 'warn': 3032, 'crit': 4040, 'power': 7340, 'online': True, 'avg': 7339, 'name': 'VDD_IN'}"
5.497,7.380000,VDD_IN,"{'volt': 4960, 'curr': 1488, 'warn': 3032, 'crit': 4040, 'power': 7380, 'online': True, 'avg': 7359, 'name': 'VDD_IN'}"
6.497,7.301000,VDD_IN,"{'volt': 4960, 'curr': 1472, 'warn': 3032, 'crit': 4040, 'power': 7301, 'online': True, 'avg': 7330, 'name': 'VDD_IN'}"
7.498,7.420000,VDD_IN,"{'volt': 4960, 'curr': 1496, 'warn': 3032, 'crit': 4040, 'power': 7420, 'online': True, 'avg': 7375, 'name': 'VDD_IN'}"
8.500,7.459000,VDD_IN,"{'volt': 4960, 'curr': 1504, 'warn': 3032, 'crit': 4040, 'power': 7459, 'online': True, 'avg': 7417, 'name': 'VDD_IN'}"
9.501,7.340000,VDD_IN,"{'volt': 4960, 'curr': 1480, 'warn': 3032, 'crit': 4040, 'power': 7340, 'online': True, 'avg': 7378, 'name': 'VDD_IN'}"
10.501,7.459000,VDD_IN,"{'volt': 4960, 'curr': 1504, 'warn': 3032, 'crit': 4040, 'power': 7459, 'online': True, 'avg': 7418, 'name': 'VDD_IN'}"
11.502,7.499000,VDD_IN,"{'volt': 4960, 'curr': 1512, 'warn': 3032, 'crit': 4040, 'power': 7499, 'online': True, 'avg': 7458, 'name': 'VDD_IN'}"
12.504,7.340000,VDD_IN,"{'volt': 4960, 'curr': 1480, 'warn': 3032, 'crit': 4040, 'power': 7340, 'online': True, 'avg': 7399, 'name': 'VDD_IN'}"
13.505,7.499000,VDD_IN,"{'volt': 4960, 'curr': 1512, 'warn': 3032, 'crit': 4040, 'power': 7499, 'online': True, 'avg': 7449, 'name': 'VDD_IN'}"
14.505,8.253000,VDD_IN,"{'volt': 4960, 'curr': 1664, 'warn': 3032, 'crit': 4040, 'power': 8253, 'online': True, 'avg': 7851, 'name': 'VDD_IN'}"
15.506,8.610000,VDD_IN,"{'volt': 4960, 'curr': 1736, 'warn': 3032, 'crit': 4040, 'power': 8610, 'online': True, 'avg': 8230, 'name': 'VDD_IN'}"
16.508,8.610000,VDD_IN,"{'volt': 4960, 'curr': 1736, 'warn': 3032, 'crit': 4040, 'power': 8610, 'online': True, 'avg': 8420, 'name': 'VDD_IN'}"
17.509,8.610000,VDD_IN,"{'volt': 4960, 'curr': 1736, 'warn': 3032, 'crit': 4040, 'power': 8610, 'online': True, 'avg': 8515, 'name': 'VDD_IN'}"
18.510,8.610000,VDD_IN,"{'volt': 4960, 'curr': 1736, 'warn': 3032, 'crit': 4040, 'power': 8610, 'online': True, 'avg': 8562, 'name': 'VDD_IN'}"
19.511,8.650000,VDD_IN,"{'volt': 4960, 'curr': 1744, 'warn': 3032, 'crit': 4040, 'power': 8650, 'online': True, 'avg': 8606, 'name': 'VDD_IN'}"
20.512,8.610000,VDD_IN,"{'volt': 4960, 'curr': 1736, 'warn': 3032, 'crit': 4040, 'power': 8610, 'online': True, 'avg': 8608, 'name': 'VDD_IN'}"
21.513,8.650000,VDD_IN,"{'volt': 4960, 'curr': 1744, 'warn': 3032, 'crit': 4040, 'power': 8650, 'online': True, 'avg': 8629, 'name': 'VDD_IN'}"
22.514,8.610000,VDD_IN,"{'volt': 4960, 'curr': 1736, 'warn': 3032, 'crit': 4040, 'power': 8610, 'online': True, 'avg': 8619, 'name': 'VDD_IN'}"
23.515,8.650000,VDD_IN,"{'volt': 4960, 'curr': 1744, 'warn': 3032, 'crit': 4040, 'power': 8650, 'online': True, 'avg': 8634, 'name': 'VDD_IN'}"
